ticker,fiscal_date_ending,quarter_ending_price,price_after_90_days,price_change_90d,revenue,net_income,gross_profit,reported_eps,estimated_eps,earnings_surprise,earnings_surprise_percent,reported_date
AAPL,2025-06-30,205.17,205.17,0.0,94036000000.0,23434000000.0,43718000000.0,1.57,1.41,0.16,11.3475,2025-07-31
AAPL,2025-03-31,221.86,205.17,-7.52,95359000000.0,24780000000.0,44867000000.0,1.65,1.62,0.03,1.8519,2025-05-01
AAPL,2024-12-31,249.84,221.86,-11.2,124300000000.0,36330000000.0,58275000000.0,2.4,2.34,0.06,2.5641,2025-01-30
AAPL,2024-09-30,232.2,251.61,8.36,94930000000.0,14736000000.0,43879000000.0,0.97,0.95,0.02,2.1053,2024-10-31
AAPL,2024-06-30,215.76,227.01,5.21,85777000000.0,21448000000.0,39678000000.0,1.4,1.34,0.06,4.4776,2024-08-01
AAPL,2024-03-31,169.02,209.66,24.04,90753000000.0,23636000000.0,42271000000.0,1.53,1.5,0.03,2.0,2024-05-02
AAPL,2023-12-31,191.15,170.46,-10.82,119575000000.0,33916000000.0,54855000000.0,2.18,2.11,0.07,3.3175,2024-02-01
AAPL,2023-09-30,169.76,191.15,12.6,89498000000.0,22956000000.0,40427000000.0,1.46,1.39,0.07,5.036,2023-11-02
AAPL,2023-06-30,192.07,169.25,-11.88,81797000000.0,19881000000.0,36413000000.0,1.26,1.19,0.07,5.8824,2023-08-03
AAPL,2023-03-31,163.06,187.73,15.13,94836000000.0,24160000000.0,41976000000.0,1.52,1.43,0.09,6.2937,2023-05-04
AAPL,2022-12-31,128.28,163.06,27.11,117154000000.0,29998000000.0,50332000000.0,1.88,1.95,-0.07,-3.5897,2023-02-02
AAPL,2022-09-30,136.22,127.97,-6.06,90146000000.0,20721000000.0,38095000000.0,1.29,1.27,0.02,1.5748,2022-10-27
AAPL,2022-06-30,134.58,147.69,9.75,82959000000.0,19442000000.0,35885000000.0,1.2,1.15,0.05,4.3478,2022-07-28
AAPL,2022-03-31,171.62,137.05,-20.15,97278000000.0,25010000000.0,42559000000.0,1.52,1.43,0.09,6.2937,2022-04-28
AAPL,2021-12-31,174.31,171.62,-1.54,123945000000.0,34630000000.0,54243000000.0,2.1,1.89,0.21,11.1111,2022-01-27
AAPL,2021-09-30,138.7,176.08,26.95,83360000000.0,20551000000.0,35174000000.0,1.24,1.24,0.0,0.0,2021-10-28
AAPL,2021-06-30,134.05,139.1,3.77,81434000000.0,21744000000.0,35255000000.0,1.3,1.01,0.29,28.7129,2021-07-27
AAPL,2021-03-31,119.35,133.43,11.8,89584000000.0,23630000000.0,38079000000.0,1.4,0.98,0.42,42.8571,2021-04-28
AAPL,2020-12-31,129.45,119.35,-7.81,111439000000.0,28755000000.0,44328000000.0,1.68,1.42,0.26,18.3099,2021-01-27
AAPL,2020-09-30,112.79,131.58,16.66,64698000000.0,12673000000.0,24689000000.0,0.73,0.7,0.03,4.2857,2020-10-29
