symbol,quarter,total_revenue,net_income,gross_profit,operating_income,ebitda,research_development,interest_expense,total_assets,stockholders_equity,total_debt,cash_and_equivalents,inventory,accounts_receivable,operating_cash_flow,free_cash_flow,capital_expenditure,change_in_cash
AAPL,2025-06-30,94036000000.0,23434000000.0,43718000000.0,28202000000.0,28031000000.0,8866000000.0,,331495000000.0,65830000000.0,101698000000.0,36269000000.0,5925000000.0,46835000000.0,27867000000.0,33878000000.0,6011000000.0,
AAPL,2025-03-31,95359000000.0,24780000000.0,44867000000.0,29589000000.0,32250000000.0,8550000000.0,,331233000000.0,66796000000.0,98186000000.0,28162000000.0,6269000000.0,49798000000.0,23952000000.0,27023000000.0,3071000000.0,
AAPL,2024-12-31,124300000000.0,36330000000.0,58275000000.0,42832000000.0,45912000000.0,8268000000.0,,344085000000.0,66758000000.0,96799000000.0,30299000000.0,6911000000.0,59306000000.0,29935000000.0,32875000000.0,2940000000.0,
AAPL,2024-09-30,94930000000.0,14736000000.0,43879000000.0,29591000000.0,32502000000.0,7765000000.0,,364980000000.0,56950000000.0,106629000000.0,29943000000.0,7286000000.0,66243000000.0,26811000000.0,29719000000.0,2908000000.0,
AAPL,2024-06-30,85777000000.0,21448000000.0,39678000000.0,25352000000.0,28202000000.0,8006000000.0,,331612000000.0,66708000000.0,101304000000.0,25565000000.0,6165000000.0,43172000000.0,28858000000.0,31009000000.0,2151000000.0,
AAPL,2024-03-31,90753000000.0,23636000000.0,42271000000.0,27900000000.0,30736000000.0,7903000000.0,,337411000000.0,74194000000.0,104590000000.0,32695000000.0,6232000000.0,41150000000.0,22690000000.0,24686000000.0,1996000000.0,
AAPL,2023-12-31,119575000000.0,33916000000.0,54855000000.0,40373000000.0,43221000000.0,7696000000.0,1002000000.0,353514000000.0,74100000000.0,108040000000.0,40760000000.0,6511000000.0,50102000000.0,39895000000.0,42287000000.0,2392000000.0,
AAPL,2023-09-30,89498000000.0,22956000000.0,40427000000.0,26969000000.0,29622000000.0,7307000000.0,1002000000.0,352583000000.0,62146000000.0,123930000000.0,29965000000.0,6331000000.0,60985000000.0,21598000000.0,23761000000.0,2163000000.0,839000000.0
AAPL,2023-06-30,81797000000.0,19881000000.0,36413000000.0,22998000000.0,26050000000.0,7442000000.0,998000000.0,335038000000.0,60274000000.0,109280000000.0,28408000000.0,7351000000.0,39186000000.0,26380000000.0,28473000000.0,2093000000.0,2769000000.0
AAPL,2023-03-31,94836000000.0,24160000000.0,41976000000.0,28318000000.0,31216000000.0,7457000000.0,930000000.0,332160000000.0,62158000000.0,109615000000.0,24687000000.0,7482000000.0,35899000000.0,28560000000.0,31476000000.0,2916000000.0,5155000000.0
AAPL,2022-12-31,117154000000.0,29998000000.0,50332000000.0,36016000000.0,38932000000.0,7709000000.0,1003000000.0,346747000000.0,56727000000.0,111110000000.0,20535000000.0,6820000000.0,54180000000.0,34005000000.0,37792000000.0,3787000000.0,-3003000000.0
AAPL,2022-09-30,90146000000.0,20721000000.0,38095000000.0,24894000000.0,28349000000.0,6761000000.0,827000000.0,352755000000.0,50672000000.0,120069000000.0,23646000000.0,4946000000.0,60932000000.0,24127000000.0,27416000000.0,3289000000.0,-3884000000.0
AAPL,2022-06-30,82959000000.0,19442000000.0,35885000000.0,23076000000.0,26590000000.0,6797000000.0,719000000.0,336309000000.0,58107000000.0,119691000000.0,27502000000.0,5433000000.0,42242000000.0,22892000000.0,24994000000.0,2102000000.0,-319000000.0
AAPL,2022-03-31,97278000000.0,25010000000.0,42559000000.0,29979000000.0,33567000000.0,6387000000.0,691000000.0,350662000000.0,67399000000.0,119981000000.0,28098000000.0,5460000000.0,45400000000.0,28166000000.0,30680000000.0,2514000000.0,-9450000000.0
AAPL,2021-12-31,123945000000.0,34630000000.0,54243000000.0,41488000000.0,44632000000.0,6306000000.0,694000000.0,381191000000.0,71932000000.0,122798000000.0,37119000000.0,5876000000.0,65253000000.0,46966000000.0,49769000000.0,2803000000.0,2701000000.0
AAPL,2021-09-30,83360000000.0,20551000000.0,35174000000.0,23786000000.0,26909000000.0,5772000000.0,672000000.0,351002000000.0,63090000000.0,124719000000.0,34940000000.0,6580000000.0,51506000000.0,20200000000.0,23423000000.0,3223000000.0,653000000.0
AAPL,2021-06-30,81434000000.0,21744000000.0,35255000000.0,24126000000.0,27866000000.0,5717000000.0,665000000.0,329840000000.0,64280000000.0,121791000000.0,34050000000.0,5178000000.0,33908000000.0,21094000000.0,23187000000.0,2093000000.0,-4730000000.0
AAPL,2021-03-31,89584000000.0,23630000000.0,38079000000.0,27503000000.0,31478000000.0,5262000000.0,670000000.0,337158000000.0,69178000000.0,121645000000.0,38466000000.0,5219000000.0,33036000000.0,23981000000.0,26250000000.0,2269000000.0,2287000000.0
AAPL,2020-12-31,111439000000.0,28755000000.0,44328000000.0,33534000000.0,36883000000.0,5163000000.0,638000000.0,354054000000.0,66224000000.0,112043000000.0,36010000000.0,4973000000.0,58620000000.0,38763000000.0,42263000000.0,3500000000.0,-2070000000.0
AAPL,2020-09-30,64698000000.0,12673000000.0,24689000000.0,14775000000.0,18237000000.0,4978000000.0,634000000.0,323888000000.0,65339000000.0,112436000000.0,38016000000.0,4061000000.0,37445000000.0,20576000000.0,22360000000.0,1784000000.0,4750000000.0
ACMR,2025-03-31,172347000.0,20380000.0,82550000.0,25777000.0,25777000.0,27503000.0,1558000.0,1933768000.0,949146000.0,237139000.0,457240000.0,609567000.0,422899000.0,5282000.0,22383000.0,17101000.0,
ACMR,2024-12-31,223471000.0,31080000.0,110815000.0,43989000.0,60547000.0,27750000.0,1228000.0,1855721000.0,904625000.0,188783000.0,407445000.0,597984000.0,428904000.0,88595000.0,101512000.0,12917000.0,
ACMR,2024-09-30,203976000.0,30904000.0,104834000.0,44184000.0,46276000.0,27837000.0,1208000.0,1794175000.0,888166000.0,176214000.0,333472000.0,628720000.0,428438000.0,11913000.0,44448000.0,32535000.0,
ACMR,2024-06-30,202480000.0,24210000.0,96784000.0,37593000.0,39844000.0,25968000.0,932000.0,1667575000.0,833169000.0,151195000.0,324031000.0,602927000.0,293499000.0,61591000.0,75168000.0,13577000.0,
ACMR,2024-03-31,152191000.0,17433000.0,79121000.0,25232000.0,27750000.0,23918000.0,783000.0,1556749000.0,796202000.0,121161000.0,211305000.0,581140000.0,296371000.0,-9049000.0,17038000.0,26087000.0,
ACMR,2023-12-31,170321000.0,17700000.0,79076000.0,23374000.0,25445000.0,32465000.0,697000.0,1490908000.0,767390000.0,99096000.0,182090000.0,545395000.0,325683000.0,-38353000.0,-25161000.0,13192000.0,
ACMR,2023-09-30,168569000.0,25679000.0,88514000.0,33173000.0,34418000.0,26151000.0,640000.0,1410248000.0,729050000.0,87565000.0,207101000.0,507431000.0,284603000.0,-17825000.0,10403000.0,28228000.0,
ACMR,2023-06-30,144577000.0,26825000.0,68639000.0,30430000.0,44125000.0,20064000.0,649000.0,1316914000.0,691954000.0,80923000.0,257420000.0,471094000.0,236391000.0,11349000.0,19217000.0,7868000.0,8635000.0
ACMR,2023-03-31,74256000.0,7145000.0,39986000.0,8862000.0,8862000.0,14029000.0,695000.0,1312751000.0,691927000.0,84767000.0,260387000.0,473299000.0,222308000.0,-30494000.0,-15444000.0,15050000.0,17180000.0
ACMR,2022-12-31,108542000.0,11809000.0,53805000.0,16670000.0,17932000.0,17835000.0,669000.0,1235500000.0,674856000.0,79502000.0,247951000.0,393172000.0,182936000.0,1336000.0,74360000.0,73024000.0,-98119000.0
ACMR,2022-09-30,133709000.0,21004000.0,65967000.0,31636000.0,31636000.0,15678000.0,419000.0,1147666000.0,643015000.0,74405000.0,336275000.0,327792000.0,203539000.0,-100000.0,15820000.0,15920000.0,32633000.0
ACMR,2022-06-30,104395000.0,16748000.0,44157000.0,20035000.0,20035000.0,11367000.0,306000.0,1071524000.0,655005000.0,31346000.0,323716000.0,288080000.0,172356000.0,-33568000.0,-31443000.0,2125000.0,-32447000.0
ACMR,2022-03-31,42186000.0,-7443000.0,19686000.0,-9306000.0,-9980000.0,17346000.0,261000.0,1087372000.0,674386000.0,38413000.0,380311000.0,271538000.0,131560000.0,-27729000.0,-24145000.0,3584000.0,-184060000.0
ACMR,2021-12-31,95142000.0,15565000.0,45446000.0,19126000.0,19882000.0,12914000.0,191000.0,1052179000.0,676204000.0,39140000.0,563067000.0,218116000.0,125614000.0,-36271000.0,-32036000.0,4235000.0,496997000.0
ACMR,2021-09-30,67013000.0,10155000.0,29685000.0,11795000.0,11641000.0,7856000.0,191000.0,469509000.0,173016000.0,45231000.0,65036000.0,176609000.0,97952000.0,-4063000.0,-1370000.0,2693000.0,-7732000.0
ACMR,2021-06-30,53864000.0,6567000.0,21680000.0,4331000.0,4816000.0,7933000.0,194000.0,418958000.0,160823000.0,47887000.0,70209000.0,136852000.0,82090000.0,-10501000.0,-9295000.0,1206000.0,-9656000.0
ACMR,2021-03-31,43732000.0,5470000.0,18045000.0,3450000.0,3996000.0,5504000.0,189000.0,371819000.0,148311000.0,47963000.0,78796000.0,103226000.0,71610000.0,10742000.0,12320000.0,1578000.0,7784000.0
ACMR,2020-12-31,45562000.0,8529000.0,19674000.0,5432000.0,5713000.0,5878000.0,371000.0,341257000.0,141150000.0,50097000.0,71766000.0,88639000.0,66120000.0,-5511000.0,30001000.0,35512000.0,-22532000.0
ACMR,2020-09-30,47665000.0,8627000.0,20341000.0,7506000.0,7839000.0,4343000.0,272000.0,296619000.0,126942000.0,32895000.0,92203000.0,64182000.0,65973000.0,2615000.0,5566000.0,2951000.0,2375000.0
ACMR,2020-06-30,39049000.0,-81000.0,19356000.0,7336000.0,7565000.0,5221000.0,228000.0,257402000.0,89907000.0,30420000.0,86397000.0,49772000.0,66554000.0,-14480000.0,2424000.0,16904000.0,-24658000.0
AFRM,2025-03-31,783134000.0,2804000.0,512116000.0,-8393000.0,,,107631000.0,10436187000.0,2874916000.0,7358282000.0,1351148000.0,,220279000.0,210388000.0,263400000.0,53012000.0,
AFRM,2024-12-31,866381000.0,80360000.0,602208000.0,-4322000.0,245515000.0,,107762000.0,10481077000.0,2785540000.0,7496019000.0,1200381000.0,-593376000.0,203626000.0,312017000.0,355922000.0,43905000.0,
AFRM,2024-09-30,698479000.0,-100222000.0,469043000.0,-132623000.0,-71902000.0,134290000.0,104145000.0,10139159000.0,2835572000.0,7119908000.0,1046160000.0,,308394000.0,196867000.0,241019000.0,44152000.0,
AFRM,2024-06-30,659185000.0,-45136000.0,570019000.0,69396000.0,130559000.0,124231000.0,95256000.0,9519619000.0,2731989000.0,6454705000.0,1295399000.0,-300592000.0,353064000.0,68763000.0,107019000.0,38256000.0,
AFRM,2024-03-31,576157000.0,-133936000.0,487948000.0,-20994000.0,-5485000.0,124828000.0,90449000.0,9201426000.0,2623460000.0,6283106000.0,1619691000.0,-418124000.0,293515000.0,208152000.0,254628000.0,46476000.0,
AFRM,2023-12-31,591110000.0,-166902000.0,381074000.0,-172151000.0,-56473000.0,119833000.0,84617000.0,9064989000.0,2634884000.0,6243372000.0,1036719000.0,-29000.0,5283894000.0,74321000.0,113068000.0,38747000.0,
AFRM,2023-09-30,496547000.0,-171783000.0,287911000.0,-209447000.0,-56678000.0,132965000.0,73931000.0,8407149000.0,2566800000.0,5682158000.0,1079261000.0,1.0,4553588000.0,98902000.0,134719000.0,35817000.0,
AFRM,2023-06-30,445825000.0,-205962000.0,222260000.0,-243828000.0,-100991000.0,152318000.0,63008000.0,8155615000.0,2534183000.0,5451006000.0,892027000.0,1.0,199161000.0,43789000.0,68647000.0,24858000.0,-123836000.0
AFRM,2023-03-31,380978000.0,-205677000.0,153957000.0,-258847000.0,-107856000.0,161792000.0,51188000.0,7507849000.0,2511136000.0,4816482000.0,972477000.0,-3160313000.0,3735022000.0,-54275000.0,-23759000.0,30516000.0,-484192000.0
AFRM,2022-12-31,399558000.0,-322437000.0,176303000.0,-359532000.0,-257250000.0,156747000.0,43751000.0,7804751000.0,2510148000.0,5090531000.0,1440333000.0,3495143000.0,201622000.0,-28548000.0,5702000.0,34250000.0,-50946000.0
AFRM,2022-09-30,361624000.0,-251269000.0,162304000.0,-262401000.0,-205501000.0,144961000.0,25066000.0,7165060000.0,2563438000.0,4374244000.0,1530132000.0,1.0,154869000.0,51215000.0,82366000.0,31151000.0,368030000.0
AFRM,2022-06-30,364134000.0,-186396000.0,181391000.0,-257809000.0,-167984000.0,135350000.0,19417000.0,6973792000.0,2618255000.0,4078208000.0,1255171000.0,-72669000.0,161943000.0,-10715000.0,41736000.0,52451000.0,-1113707000.0
AFRM,2022-03-31,354762000.0,-54671000.0,201100000.0,-210727000.0,-25486000.0,110291000.0,15824000.0,7031726000.0,2576055000.0,4090387000.0,2261937000.0,-58443000.0,124614000.0,-27981000.0,-6886000.0,21095000.0,-138242000.0
AFRM,2021-12-31,361011000.0,-159735000.0,224173000.0,-196200000.0,-129795000.0,94989000.0,17700000.0,6952449000.0,2468322000.0,4340480000.0,2567401000.0,-88565000.0,2429195000.0,-440254000.0,-418442000.0,21812000.0,1135943000.0
AFRM,2021-09-30,269385000.0,-306615000.0,166171000.0,-166071000.0,-279150000.0,78013000.0,16753000.0,5402099000.0,2377358000.0,2144921000.0,1439531000.0,-43016000.0,100951000.0,365150000.0,381497000.0,16347000.0,-20407000.0
AFRM,2021-06-30,261780000.0,-128227000.0,168623000.0,-124690000.0,-132125000.0,81952000.0,15623000.0,4866967000.0,2581153000.0,1907354000.0,1466558000.0,-145377000.0,91575000.0,-15676000.0,-7838000.0,7838000.0,
AFRM,2021-03-31,230665000.0,-247159000.0,110602000.0,-169456000.0,-227543000.0,93707000.0,14665000.0,4766389000.0,2404021000.0,2038044000.0,1623672000.0,-124444000.0,66080000.0,-123258000.0,-117907000.0,5351000.0,
AFRM,2020-12-31,204041000.0,-31557000.0,145605000.0,-31719000.0,-11182000.0,2200000.0,12060000.0,2708122000.0,-349584000.0,1710594000.0,520741000.0,-21402000.0,1836615000.0,-47655000.0,-44761000.0,2894000.0,
AFRM,2020-09-30,173978000.0,-15275000.0,126712000.0,-44623000.0,-1106000.0,2600000.0,1958000.0,2453483000.0,1181985000.0,1219018000.0,684423000.0,-4085000.0,49026000.0,-2304000.0,1865000.0,4169000.0,
AFRM,2020-06-30,153332000.0,35691000.0,106782000.0,39320000.0,44703000.0,118378000.0,7817000.0,1402251000.0,-367096000.0,917146000.0,267059000.0,-4459000.0,59001000.0,-28447000.0,-26132000.0,2315000.0,
ALAB,2025-03-31,159442000.0,31819000.0,119411000.0,11285000.0,12410000.0,64554000.0,,1121694000.0,1041562000.0,,86431000.0,51057000.0,69778000.0,10504000.0,15043000.0,4539000.0,
ALAB,2024-12-31,141096000.0,24713000.0,104448000.0,144000.0,1118000.0,56524000.0,,1054508000.0,964799000.0,1286000.0,79551000.0,43215000.0,38811000.0,39703000.0,55151000.0,15448000.0,
ALAB,2024-09-30,113086000.0,-7593000.0,87877000.0,-8896000.0,-8047000.0,50659000.0,,983065000.0,889612000.0,,126117000.0,24415000.0,25386000.0,63508000.0,80205000.0,16697000.0,
ALAB,2024-06-30,76850000.0,-7546000.0,59854000.0,-24347000.0,-23630000.0,40089000.0,,915515000.0,845252000.0,2133000.0,421076000.0,28572000.0,22233000.0,29813000.0,31137000.0,1324000.0,
ALAB,2024-03-31,65258000.0,-92995000.0,50520000.0,-82967000.0,-82353000.0,53558000.0,,864901000.0,808784000.0,2333000.0,696077000.0,29567000.0,16757000.0,3652000.0,7076000.0,3424000.0,
ALAB,2023-12-31,50514000.0,14325000.0,39025000.0,9020000.0,9560000.0,19654000.0,,196292000.0,157426000.0,2934000.0,45098000.0,24095000.0,8335000.0,14399000.0,15410000.0,1011000.0,
ALAB,2023-09-30,36928000.0,-3124000.0,28105000.0,-1977000.0,-1499000.0,20626000.0,,,,,,,,-334000.0,402000.0,736000.0,
ALAB,2023-06-30,10688000.0,-20004000.0,8439000.0,-17613000.0,-17207000.0,17860000.0,,,,,,,,-22962000.0,-22387000.0,575000.0,
ALAB,2023-03-31,17664000.0,-17454000.0,4258000.0,-18927000.0,-18570000.0,15267000.0,,,169835000.0,,-163144000.0,,,-3819000.0,-3380000.0,439000.0,
ALAB,2022-12-31,20355000.0,-20097000.0,14637000.0,-21838000.0,-20341000.0,27765000.0,,211731000.0,169835000.0,1958000.0,76088000.0,28874000.0,10721000.0,,,,
ALAB,2022-09-30,23103000.0,-5342000.0,17197000.0,-6099000.0,901000.0,14240000.0,,,,,,,,,,0.0,
ALAB,2022-06-30,21396000.0,-27334000.0,16037000.0,-28072000.0,-27857000.0,22431000.0,,,,,,,,,,,
ALAB,2022-03-31,15018000.0,-5572000.0,10810000.0,-4185000.0,-4185000.0,9275000.0,,,,,,,,,,,
AMSC,2025-06-30,72358000.0,6724000.0,24489000.0,5644000.0,8395000.0,4304000.0,,452846000.0,333116000.0,3760000.0,207890000.0,71602000.0,54684000.0,4125000.0,4939000.0,814000.0,
AMSC,2025-03-31,66655000.0,1205000.0,17691000.0,1653000.0,3452000.0,3493000.0,,310521000.0,197114000.0,3369000.0,79494000.0,71169000.0,46186000.0,6290000.0,7329000.0,1039000.0,
AMSC,2024-12-31,61403000.0,2465000.0,16326000.0,1315000.0,3111000.0,3000000.0,,310278000.0,192676000.0,3400000.0,75203000.0,74588000.0,44135000.0,5874000.0,6398000.0,524000.0,
AMSC,2024-09-30,54471000.0,4887000.0,15613000.0,-753000.0,3942000.0,2646000.0,,298448000.0,187015000.0,3369000.0,72131000.0,70880000.0,40059000.0,12712000.0,13299000.0,587000.0,
AMSC,2024-06-30,40290000.0,-2524000.0,12225000.0,-3291000.0,1637000.0,2286000.0,,240143000.0,143344000.0,4230000.0,93923000.0,45149000.0,23529000.0,3409000.0,3674000.0,265000.0,
AMSC,2024-03-31,42028000.0,-1579000.0,10431000.0,-2227000.0,777000.0,2298000.0,,232771000.0,144571000.0,2709000.0,90990000.0,41857000.0,26325000.0,2235000.0,2553000.0,318000.0,
AMSC,2023-12-31,39353000.0,-1649000.0,9984000.0,-1438000.0,418000.0,2199000.0,,166343000.0,79525000.0,2582000.0,23979000.0,44197000.0,24721000.0,1251000.0,1456000.0,205000.0,
AMSC,2023-09-30,34004000.0,-2485000.0,8586000.0,-2369000.0,-302000.0,1641000.0,,171327000.0,76894000.0,2682000.0,22818000.0,47835000.0,27509000.0,897000.0,1113000.0,216000.0,
AMSC,2023-06-30,30254000.0,-5398000.0,6282000.0,-5333000.0,-2858000.0,1853000.0,174000.0,170634000.0,77918000.0,2901000.0,22005000.0,42874000.0,30116000.0,-2245000.0,-2031000.0,214000.0,-2555000.0
AMSC,2023-03-31,31743000.0,-6870000.0,3813000.0,-6839000.0,-4124000.0,1890000.0,111000.0,175561000.0,81797000.0,3082000.0,23360000.0,36986000.0,30665000.0,-5418000.0,-5152000.0,266000.0,
AMSC,2022-12-31,23881000.0,-9581000.0,517000.0,-9209000.0,-8124000.0,2083000.0,42000.0,165072000.0,87207000.0,3304000.0,23685000.0,38725000.0,17568000.0,-5495000.0,-5085000.0,410000.0,-6024000.0
AMSC,2022-09-30,27680000.0,-9881000.0,1970000.0,-8092000.0,-6984000.0,2314000.0,45000.0,171747000.0,95383000.0,3524000.0,27811000.0,36342000.0,20391000.0,-5709000.0,-5590000.0,119000.0,-5757000.0
AMSC,2022-06-30,22679000.0,-8710000.0,2221000.0,-8869000.0,-7298000.0,2678000.0,24000.0,176508000.0,101913000.0,3747000.0,33355000.0,32924000.0,21731000.0,-5863000.0,-5422000.0,441000.0,-6379000.0
AMSC,2022-03-31,28309000.0,-5032000.0,3291000.0,-4907000.0,-4985000.0,2102000.0,7000.0,173887000.0,109389000.0,3802000.0,40584000.0,23666000.0,20280000.0,-3052000.0,-2824000.0,228000.0,-3066000.0
AMSC,2021-12-31,26799000.0,-4324000.0,3572000.0,-4380000.0,-5112000.0,2657000.0,12000.0,175296000.0,113035000.0,3728000.0,43887000.0,20942000.0,21049000.0,-4191000.0,-3991000.0,200000.0,-4429000.0
AMSC,2021-09-30,27908000.0,-4434000.0,3261000.0,-4302000.0,-5369000.0,2669000.0,25000.0,184373000.0,116104000.0,3914000.0,48501000.0,21574000.0,25177000.0,-5905000.0,-5619000.0,286000.0,-920000.0
AMSC,2021-06-30,25420000.0,-5403000.0,3369000.0,-7499000.0,-6131000.0,3041000.0,32000.0,192167000.0,118553000.0,4105000.0,50070000.0,22155000.0,23908000.0,-5829000.0,-5605000.0,224000.0,-64104000.0
AMSC,2021-03-31,21164000.0,-7616000.0,2937000.0,-7484000.0,-5623000.0,2767000.0,,168866000.0,116592000.0,3858000.0,67814000.0,13306000.0,13267000.0,-3810000.0,-3620000.0,190000.0,-64104000.0
AMSC,2020-12-31,23632000.0,-7933000.0,3956000.0,-9258000.0,-4716000.0,3029000.0,53000.0,175047000.0,122918000.0,3910000.0,67909000.0,14176000.0,12083000.0,1682000.0,1930000.0,248000.0,26586000.0
AMSC,2020-09-30,21117000.0,-3712000.0,5521000.0,-3206000.0,-2197000.0,2719000.0,161000.0,111227000.0,66420000.0,3998000.0,41246000.0,14155000.0,16810000.0,-3438000.0,-2749000.0,689000.0,20619000.0
AMZN,2025-06-30,167702000000.0,18164000000.0,60917000000.0,19171000000.0,21373000000.0,27166000000.0,516000000.0,682170000000.0,333775000000.0,133939000000.0,57741000000.0,40825000000.0,57415000000.0,32515000000.0,64698000000.0,32183000000.0,
AMZN,2025-03-31,155667000000.0,17127000000.0,78691000000.0,18405000000.0,36482000000.0,22994000000.0,541000000.0,643256000000.0,305867000000.0,133245000000.0,66207000000.0,35864000000.0,54216000000.0,17015000000.0,42034000000.0,25019000000.0,
AMZN,2024-12-31,187792000000.0,20004000000.0,88899000000.0,21203000000.0,38550000000.0,23571000000.0,570000000.0,624894000000.0,285970000000.0,130900000000.0,78779000000.0,34214000000.0,55451000000.0,45636000000.0,73470000000.0,27834000000.0,
AMZN,2024-09-30,158877000000.0,15328000000.0,77900000000.0,17411000000.0,32082000000.0,22245000000.0,603000000.0,584626000000.0,259151000000.0,134692000000.0,75091000000.0,36103000000.0,51638000000.0,25971000000.0,48591000000.0,22620000000.0,
AMZN,2024-06-30,147977000000.0,13485000000.0,74192000000.0,14769000000.0,26807000000.0,22304000000.0,589000000.0,554818000000.0,236447000000.0,132973000000.0,71178000000.0,34109000000.0,50106000000.0,25281000000.0,42901000000.0,17620000000.0,
AMZN,2024-03-31,143313000000.0,10431000000.0,70680000000.0,15307000000.0,26991000000.0,16960000000.0,644000000.0,530969000000.0,216661000000.0,134686000000.0,72852000000.0,31147000000.0,47768000000.0,18989000000.0,33914000000.0,14925000000.0,
AMZN,2023-12-31,169961000000.0,10624000000.0,77408000000.0,13209000000.0,27029000000.0,22038000000.0,713000000.0,527854000000.0,201875000000.0,135611000000.0,73387000000.0,33318000000.0,52253000000.0,42465000000.0,57053000000.0,14588000000.0,
AMZN,2023-09-30,143083000000.0,9879000000.0,68061000000.0,11188000000.0,23319000000.0,21203000000.0,806000000.0,486883000000.0,182973000000.0,136989000000.0,49605000000.0,35406000000.0,43420000000.0,21217000000.0,33696000000.0,12479000000.0,
AMZN,2023-06-30,134383000000.0,6750000000.0,65010000000.0,7681000000.0,19270000000.0,18829000000.0,840000000.0,477607000000.0,168602000000.0,138914000000.0,49529000000.0,36587000000.0,39925000000.0,16476000000.0,27931000000.0,11455000000.0,264000000.0
AMZN,2023-03-31,127358000000.0,3172000000.0,59567000000.0,4774000000.0,15897000000.0,17420000000.0,823000000.0,464378000000.0,154526000000.0,141351000000.0,49343000000.0,34170000000.0,37646000000.0,4788000000.0,18995000000.0,14207000000.0,-4664000000.0
AMZN,2022-12-31,149204000000.0,278000000.0,63564000000.0,2547000000.0,15232000000.0,3653000000.0,694000000.0,462675000000.0,146043000000.0,140118000000.0,53888000000.0,34405000000.0,42360000000.0,29173000000.0,45765000000.0,16592000000.0,18438000000.0
AMZN,2022-09-30,127101000000.0,2872000000.0,56833000000.0,2525000000.0,12729000000.0,16787000000.0,617000000.0,428362000000.0,137489000000.0,128251000000.0,34947000000.0,36647000000.0,36154000000.0,11404000000.0,27782000000.0,16378000000.0,-1188000000.0
AMZN,2022-06-30,121234000000.0,-2028000000.0,54810000000.0,3317000000.0,13033000000.0,15468000000.0,584000000.0,419728000000.0,131402000000.0,124577000000.0,37478000000.0,38153000000.0,34804000000.0,8965000000.0,24689000000.0,15724000000.0,1513000000.0
AMZN,2022-03-31,116444000000.0,-3844000000.0,49945000000.0,3669000000.0,12862000000.0,12270000000.0,472000000.0,410767000000.0,134001000000.0,113287000000.0,36393000000.0,34987000000.0,32504000000.0,-2790000000.0,12161000000.0,14951000000.0,106000000.0
AMZN,2021-12-31,137412000000.0,14323000000.0,54577000000.0,3460000000.0,13262000000.0,2001000000.0,482000000.0,420549000000.0,138245000000.0,116395000000.0,36220000000.0,32640000000.0,32891000000.0,22086000000.0,41021000000.0,18935000000.0,6300000000.0
AMZN,2021-09-30,110812000000.0,3156000000.0,47882000000.0,4852000000.0,13800000000.0,12097000000.0,493000000.0,382406000000.0,120564000000.0,113903000000.0,29944000000.0,30933000000.0,28610000000.0,7313000000.0,23061000000.0,15748000000.0,-10490000000.0
AMZN,2021-06-30,113080000000.0,7778000000.0,48904000000.0,7702000000.0,15740000000.0,11794000000.0,435000000.0,360319000000.0,114803000000.0,106576000000.0,40380000000.0,24119000000.0,26835000000.0,12715000000.0,27003000000.0,14288000000.0,6512000000.0
AMZN,2021-03-31,108518000000.0,8107000000.0,46115000000.0,8865000000.0,16373000000.0,10584000000.0,399000000.0,323077000000.0,103320000000.0,84935000000.0,33834000000.0,23849000000.0,24289000000.0,4213000000.0,16295000000.0,12082000000.0,-8222000000.0
AMZN,2020-12-31,125555000000.0,7222000000.0,46271000000.0,6873000000.0,14491000000.0,5242000000.0,414000000.0,321195000000.0,93404000000.0,84389000000.0,42122000000.0,23795000000.0,24542000000.0,30431000000.0,45254000000.0,14823000000.0,12175000000.0
AMZN,2020-09-30,96145000000.0,6331000000.0,39039000000.0,6194000000.0,12717000000.0,9334000000.0,428000000.0,282179000000.0,82775000000.0,81518000000.0,29930000000.0,23735000000.0,20832000000.0,11964000000.0,23027000000.0,11063000000.0,-7640000000.0
ANET,2025-03-31,2004800000.0,813800000.0,1276100000.0,858800000.0,872600000.0,266400000.0,,14514600000.0,10119100000.0,,1845100000.0,1957300000.0,1435900000.0,641700000.0,670100000.0,28400000.0,
