date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-11-03,24.38,24.38,24.22,24.22,13.4276318978063,8600.0,0.0,1.0
1999-11-04,24.66,24.67,24.42,24.53,13.599496715656,14800.0,0.0,1.0
1999-11-05,24.78,24.81,24.48,24.48,13.5717765837447,75900.0,0.0,1.0
1999-11-08,24.39,24.39,24.0,24.25,13.444263976953,161800.0,0.0,1.0
1999-11-09,24.3,24.63,24.3,24.34,13.4941602143933,18900.0,0.0,1.0
1999-11-10,24.3,24.59,24.22,24.41,13.532968399069,17600.0,0.0,1.0
1999-11-11,24.58,24.66,24.16,24.27,13.4553520297175,15600.0,0.0,1.0
1999-11-12,24.41,24.5,24.22,24.34,13.4941602143933,51600.0,0.0,1.0
1999-11-15,24.27,25.0,24.23,24.97,13.8434338764749,84400.0,0.0,1.0
1999-11-16,25.0,25.08,24.83,25.06,13.8933301139152,125900.0,0.0,1.0
1999-11-17,25.0,25.11,24.88,24.97,13.8434338764749,15000.0,0.0,1.0
1999-11-18,24.73,25.02,24.63,24.81,13.754729454359,8300.0,0.0,1.0
1999-11-19,24.56,24.8,24.56,24.7,13.6937451641542,61600.0,0.0,1.0
1999-11-22,24.5,24.55,24.28,24.42,13.5385124254513,9700.0,0.0,1.0
1999-11-23,24.2,24.45,24.13,24.2,13.4165438450418,130200.0,0.0,1.0
1999-11-24,24.08,24.38,24.08,24.23,13.4331759241885,13500.0,0.0,1.0
1999-11-26,24.2,24.36,24.16,24.17,13.399911765895,7900.0,0.0,1.0
1999-11-29,24.0,24.0,23.59,23.63,13.1005343412536,33500.0,0.0,1.0
1999-11-30,23.92,24.17,23.8,23.92,13.2613111063388,7100.0,0.0,1.0
1999-12-01,24.03,24.03,23.83,23.98,13.2945752646323,47300.0,0.0,1.0
1999-12-02,24.03,24.56,23.88,24.48,13.5717765837447,18700.0,0.0,1.0
1999-12-03,24.47,24.88,24.47,24.64,13.6604810058607,96600.0,0.0,1.0
1999-12-06,24.58,24.98,24.58,24.66,13.6715690586252,68700.0,0.0,1.0
1999-12-07,24.63,24.8,24.38,24.38,13.5163363199223,85600.0,0.0,1.0
1999-12-08,24.45,24.66,24.38,24.58,13.6272168475672,58400.0,0.0,1.0
1999-12-09,24.34,24.58,24.25,24.48,13.5717765837447,14500.0,0.0,1.0
1999-12-10,24.7,24.98,24.38,24.78,13.7380973752122,10200.0,0.0,1.0
1999-12-13,24.58,24.91,24.58,24.81,13.754729454359,15900.0,0.0,1.0
1999-12-14,24.72,25.36,24.64,25.06,13.8933301139152,120200.0,0.0,1.0
1999-12-15,25.27,25.83,25.27,25.77,14.2869559870548,120000.0,0.0,1.0
1999-12-16,25.78,25.78,25.17,25.31,14.0319307734714,17500.0,0.0,1.0
1999-12-17,25.88,26.31,25.69,26.2,14.6172751773382,325800.0,0.1658,1.0
1999-12-20,25.98,25.98,24.88,25.02,13.9589398830917,384600.0,0.0,1.0
1999-12-21,25.06,25.13,24.86,25.0,13.9477816577655,507400.0,0.0,1.0
1999-12-22,25.0,25.06,24.8,25.03,13.9645189957548,395500.0,0.0,1.0
