date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-11-01,25.5,25.67,25.19,25.25,12.3155159339048,374100.0,0.0,1.0
1999-11-02,25.19,25.75,25.14,25.22,12.3008836377457,428500.0,0.0,1.0
1999-11-03,25.25,25.41,25.03,25.11,12.2472318851624,52000.0,0.0,1.0
1999-11-04,25.56,25.7,25.33,25.41,12.3935548467533,549200.0,0.0,1.0
1999-11-05,26.09,26.38,25.91,26.03,12.6959556340413,332600.0,0.0,1.0
1999-11-08,25.97,26.0,25.75,25.89,12.6276715852988,583300.0,0.0,1.0
1999-11-09,26.0,26.0,25.25,25.39,12.3837999826472,111900.0,0.0,1.0
1999-11-10,25.08,25.33,24.95,25.0,12.193580132579,90100.0,0.0,1.0
1999-11-11,24.78,24.97,24.64,24.86,12.1252960838366,173900.0,0.0,1.0
1999-11-12,25.41,25.97,24.72,25.94,12.652058745564,520600.0,0.0,1.0
1999-11-15,25.88,26.0,25.73,25.92,12.6423038814579,146200.0,0.0,1.0
1999-11-16,26.11,26.78,26.08,26.63,12.9886015572232,513900.0,0.0,1.0
1999-11-17,26.44,26.52,25.94,26.06,12.7105879302004,343500.0,0.0,1.0
1999-11-18,26.2,26.2,25.66,25.98,12.6715684737761,160500.0,0.0,1.0
1999-11-19,25.98,26.0,25.56,25.59,12.4813486237079,195000.0,0.0,1.0
1999-11-22,25.5,25.5,25.28,25.5,12.4374517352306,176000.0,0.0,1.0
1999-11-23,25.31,25.31,24.81,25.09,12.2374770210563,172200.0,0.0,1.0
1999-11-24,24.81,24.88,24.64,24.8,12.0960314915184,103800.0,0.0,1.0
1999-11-26,24.97,24.97,24.63,24.63,12.0131151466168,73800.0,0.0,1.0
1999-11-29,24.28,24.31,24.03,24.03,11.7204692234349,777200.0,0.0,1.0
1999-11-30,24.03,24.75,24.03,24.44,11.9204439376092,115300.0,0.0,1.0
1999-12-01,24.19,24.56,24.19,24.25,11.8277727286016,515800.0,0.0,1.0
1999-12-02,24.48,24.56,24.13,24.36,11.881424481185,99300.0,0.0,1.0
1999-12-03,25.03,25.41,24.94,24.94,12.1643155402608,1195300.0,0.0,1.0
1999-12-06,24.81,24.81,24.16,24.27,11.8375275927077,230500.0,0.0,1.0
1999-12-07,24.19,24.22,23.94,24.22,11.8131404324425,1032400.0,0.0,1.0
1999-12-08,24.16,24.16,23.64,23.64,11.5302493733667,594900.0,0.0,1.0
1999-12-09,23.91,24.03,23.61,23.98,11.6960820631698,116700.0,0.0,1.0
1999-12-10,24.34,24.55,24.14,24.41,11.9058116414501,600700.0,0.0,1.0
1999-12-13,24.09,24.28,23.98,24.13,11.7692435439653,298600.0,0.0,1.0
1999-12-14,23.78,24.0,23.52,23.55,11.4863524848894,357900.0,0.0,1.0
1999-12-15,23.52,23.63,23.38,23.48,11.4522104605182,363700.0,0.0,1.0
1999-12-16,23.22,23.34,22.81,22.97,11.2034614258136,397500.0,0.0,1.0
1999-12-17,22.94,23.27,22.94,23.06,11.2882521678531,1315400.0,0.0838,1.0
1999-12-20,23.16,23.23,22.72,22.88,11.2001391847562,972700.0,0.0,1.0
1999-12-21,22.88,23.66,22.81,23.31,11.4106313110432,1278200.0,0.0,1.0
1999-12-22,23.41,23.47,23.16,23.31,11.4106313110432,1113600.0,0.0,1.0
1999-12-23,23.31,23.75,23.31,23.69,11.5966476086921,458500.0,0.0,1.0
1999-12-27,23.91,23.97,23.5,23.5,11.5036394598676,2770300.0,0.0,1.0
1999-12-28,23.5,23.53,23.34,23.41,11.4595829683192,110700.0,0.0,1.0
1999-12-29,23.34,23.8,23.34,23.64,11.5721717800541,102200.0,0.0,1.0
1999-12-30,23.75,24.0,23.59,23.75,11.6260186030577,232300.0,0.0,1.0
1999-12-31,24.0,24.0,23.66,23.77,11.6358089345129,558100.0,0.0,1.0
2000-01-03,23.72,23.72,22.72,22.88,11.2001391847562,963200.0,0.0,1.0
2000-01-04,22.38,22.41,21.67,21.88,10.7106226119959,719500.0,0.0,1.0
2000-01-05,21.88,22.11,21.47,21.89,10.7155177777235,582600.0,0.0,1.0
2000-01-06,21.77,22.8,21.77,22.66,11.092445538749,337800.0,0.0,1.0
2000-01-07,22.81,23.06,22.5,23.03,11.2735666706703,380300.0,0.0,1.0
2000-01-10,23.22,23.22,22.56,22.63,11.0777600415662,374200.0,0.0,1.0
2000-01-11,22.41,22.69,22.25,22.25,10.8917437439172,386800.0,0.0,1.0
2000-01-12,22.42,22.81,22.42,22.69,11.1071310359318,116400.0,0.0,1.0
2000-01-13,23.09,23.48,22.97,23.38,11.4448974711364,897300.0,0.0,1.0
2000-01-14,23.66,24.08,23.64,23.92,11.709236420427,594300.0,0.0,1.0
2000-01-18,23.84,23.84,23.13,23.13,11.3225183279463,378700.0,0.0,1.0
2000-01-19,23.14,23.59,23.0,23.05,11.2833570021255,275800.0,0.0,1.0
2000-01-20,23.22,23.22,22.5,22.63,11.0777600415662,477800.0,0.0,1.0
2000-01-21,22.75,22.75,22.22,22.34,10.9358002354657,404800.0,0.0,1.0
2000-01-24,22.56,22.56,21.75,21.94,10.7399936063615,281700.0,0.0,1.0
2000-01-25,21.94,22.34,21.91,22.17,10.8525824180964,188200.0,0.0,1.0
2000-01-26,22.34,23.03,22.31,23.0,11.2588811734875,512200.0,0.0,1.0
2000-01-27,23.11,23.39,22.88,23.25,11.3812603166776,213300.0,0.0,1.0
2000-01-28,22.63,22.88,22.25,22.44,10.9847518927417,138900.0,0.0,1.0
2000-01-31,22.19,23.06,22.19,23.06,11.2882521678531,440100.0,0.0,1.0
2000-02-01,23.19,23.23,22.84,23.19,11.3518893223119,269700.0,0.0,1.0
2000-02-02,23.13,23.16,22.81,22.95,11.2344053448495,324800.0,0.0,1.0
2000-02-03,22.94,23.06,22.39,22.81,11.165873024663,284500.0,0.0,1.0
2000-02-04,22.89,23.0,22.44,22.58,11.0532842129281,175900.0,0.0,1.0
2000-02-07,22.41,22.53,22.19,22.34,10.9358002354657,74400.0,0.0,1.0
2000-02-08,22.63,22.75,22.47,22.59,11.0581793786558,494300.0,0.0,1.0
2000-02-09,22.59,22.59,21.91,22.06,10.7987355950928,181600.0,0.0,1.0
2000-02-10,22.09,22.09,21.25,21.45,10.500130485709,521100.0,0.0,1.0
2000-02-11,21.75,22.0,21.31,21.5,10.524606314347,478200.0,0.0,1.0
2000-02-14,21.53,21.69,21.08,21.69,10.6176144631715,824300.0,0.0,1.0
2000-02-15,21.28,21.8,21.13,21.72,10.6322999603543,303400.0,0.0,1.0
2000-02-16,21.66,21.75,21.14,21.27,10.4120175026121,305700.0,0.0,1.0
2000-02-17,21.63,21.63,20.78,21.0,10.2798480279668,497000.0,0.0,1.0
2000-02-18,20.91,20.91,20.06,20.25,9.91271059839659,716300.0,0.0,1.0
2000-02-22,20.47,20.59,20.0,20.44,10.0057187472211,458600.0,0.0,1.0
2000-02-23,20.5,20.61,20.16,20.36,9.96655742140023,318800.0,0.0,1.0
2000-02-24,20.16,20.31,19.72,19.94,9.76096046084089,354000.0,0.0,1.0
2000-02-25,20.09,20.47,19.66,19.81,9.69732330638205,494000.0,0.0,1.0
2000-02-28,20.31,20.64,20.0,20.45,10.0106139129487,995400.0,0.0,1.0
2000-02-29,20.7,20.73,20.25,20.59,10.0791462331351,353500.0,0.0,1.0
2000-03-01,20.63,21.06,20.5,20.88,10.2211060392356,1282400.0,0.0,1.0
2000-03-02,20.75,20.91,20.39,20.75,10.1574688847768,487700.0,0.0,1.0
2000-03-03,21.19,21.19,20.75,20.94,10.2504770336012,339900.0,0.0,1.0
2000-03-06,20.83,21.05,20.53,20.73,10.1476785533215,1525800.0,0.0,1.0
2000-03-07,20.5,20.69,19.88,20.11,9.84417827821015,1018100.0,0.0,1.0
2000-03-08,19.78,20.0,19.5,19.88,9.73158946647527,527400.0,0.0,1.0
2000-03-09,19.64,20.09,19.56,19.98,9.7805411237513,312900.0,0.0,1.0
2000-03-10,19.94,20.25,19.94,20.05,9.81480728384453,149000.0,0.0,1.0
2000-03-13,19.47,20.47,19.47,20.25,9.91271059839659,334400.0,0.0,1.0
2000-03-14,20.16,20.55,20.13,20.17,9.87354927257577,232500.0,0.0,1.0
2000-03-15,20.28,21.5,20.0,21.41,10.4805498227986,980200.0,0.0,1.0
2000-03-16,21.98,23.25,21.83,23.23,11.3714699852224,1739800.0,0.0,1.0
2000-03-17,23.19,23.69,23.03,23.17,11.3835987373456,873900.0,0.0848,1.0
