date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-11-01,28.02,28.02,27.41,27.41,17.0946807172086,3100.0,0.0,1.0
1999-11-02,27.69,28.03,27.66,27.75,17.3067271033396,25700.0,0.0,1.0
1999-11-03,27.75,27.75,27.56,27.56,17.1882305934428,8400.0,0.0,1.0
1999-11-04,27.75,27.91,27.36,27.48,17.1383373261179,17800.0,0.0,1.0
1999-11-05,27.63,27.86,27.56,27.63,17.2318872023522,88600.0,0.0,1.0
1999-11-08,27.48,27.67,27.48,27.67,17.2568338360146,4000.0,0.0,1.0
1999-11-09,27.67,27.69,27.56,27.69,17.2693071528459,4500.0,0.0,1.0
1999-11-10,27.45,27.64,27.45,27.58,17.2007039102741,5900.0,0.0,1.0
1999-11-11,27.63,27.83,27.59,27.69,17.2693071528459,23800.0,0.0,1.0
1999-11-12,27.91,27.91,27.59,27.88,17.3878036627426,41400.0,0.0,1.0
1999-11-15,28.0,28.25,28.0,28.03,17.4813535389769,14300.0,0.0,1.0
1999-11-16,28.27,28.69,28.27,28.69,17.8929729944076,9900.0,0.0,1.0
1999-11-17,28.86,28.94,28.73,28.88,18.0114695043044,8500.0,0.0,1.0
1999-11-18,28.86,29.06,28.81,28.97,18.067599430045,38300.0,0.0,1.0
1999-11-19,28.81,28.86,28.59,28.63,17.8555530439139,5000.0,0.0,1.0
1999-11-22,28.2,28.5,28.2,28.5,17.7744764845109,24600.0,0.0,1.0
1999-11-23,28.33,28.33,28.13,28.22,17.5998500488736,27700.0,0.0,1.0
1999-11-24,28.09,28.28,28.09,28.23,17.6060867072892,3900.0,0.0,1.0
1999-11-26,28.06,28.2,28.06,28.09,17.5187734894706,14800.0,0.0,1.0
1999-11-29,27.61,27.78,27.53,27.63,17.2318872023522,231100.0,0.0,1.0
1999-11-30,27.59,27.75,27.48,27.5,17.1508106429491,14100.0,0.0,1.0
1999-12-01,27.56,27.94,27.56,27.72,17.2880171280927,41800.0,0.0,1.0
1999-12-02,27.91,28.03,27.66,27.66,17.250597177599,219000.0,0.0,1.0
1999-12-03,28.05,28.34,28.05,28.11,17.5312468063018,24100.0,0.0,1.0
1999-12-06,28.03,28.05,27.84,28.03,17.4813535389769,17300.0,0.0,1.0
1999-12-07,28.02,28.03,27.5,27.5,17.1508106429491,8000.0,0.0,1.0
1999-12-08,27.66,28.08,27.66,27.98,17.4501702468988,210500.0,0.0,1.0
1999-12-09,27.44,27.63,27.14,27.23,16.9824208657274,12700.0,0.0,1.0
1999-12-10,27.66,27.75,27.5,27.73,17.2942537865083,37100.0,0.0,1.0
1999-12-13,27.72,28.02,27.72,27.89,17.3940403211582,22600.0,0.0,1.0
1999-12-14,27.98,28.11,27.88,27.89,17.3940403211582,9400.0,0.0,1.0
1999-12-15,27.95,27.95,27.59,27.63,17.2318872023522,18800.0,0.0,1.0
1999-12-16,27.66,27.91,27.66,27.88,17.3878036627426,17100.0,0.0,1.0
1999-12-17,28.19,28.53,28.0,28.53,17.9146597267163,788400.0,0.1948,1.0
1999-12-20,28.31,28.31,27.63,27.67,17.3746454482383,459700.0,0.0,1.0
1999-12-21,27.48,28.11,27.48,28.06,17.6195356442923,519300.0,0.0,1.0
1999-12-22,28.02,28.09,27.84,27.94,17.5441848147372,511700.0,0.0,1.0
1999-12-23,28.25,28.45,28.2,28.31,17.7765165391987,152100.0,0.0,1.0
1999-12-27,28.88,28.88,28.42,28.59,17.9523351414938,1067100.0,0.0,1.0
1999-12-28,28.69,29.19,28.69,28.89,18.1407122153815,34900.0,0.0,1.0
1999-12-29,29.02,29.14,28.95,29.11,18.2788554028991,9000.0,0.0,1.0
1999-12-30,29.25,29.34,29.17,29.17,18.3165308176766,10200.0,0.0,1.0
1999-12-31,29.28,29.61,29.25,29.61,18.5928171927118,4700.0,0.0,1.0
2000-01-03,29.48,29.48,28.69,28.84,18.1093160364002,82800.0,0.0,1.0
2000-01-04,28.47,28.61,27.94,28.05,17.613256408496,146900.0,0.0,1.0
2000-01-05,28.0,28.06,27.75,27.97,17.563022522126,129200.0,0.0,1.0
2000-01-06,27.92,28.38,27.81,28.3,17.7702373034024,54000.0,0.0,1.0
2000-01-07,28.63,29.38,28.63,29.38,18.448394769398,32900.0,0.0,1.0
2000-01-10,29.53,29.63,29.28,29.38,18.448394769398,122500.0,0.0,1.0
2000-01-11,29.47,29.47,29.0,29.0,18.2097838091403,109800.0,0.0,1.0
2000-01-12,28.92,28.92,28.66,28.66,17.9962897920676,39900.0,0.0,1.0
2000-01-13,29.06,29.27,28.84,29.2,18.3353685250654,189700.0,0.0,1.0
2000-01-14,29.28,29.3,28.89,29.0,18.2097838091403,5700.0,0.0,1.0
2000-01-18,28.78,29.09,28.77,28.97,18.1909461017515,83600.0,0.0,1.0
2000-01-19,29.0,29.03,28.88,28.88,18.1344329795852,62800.0,0.0,1.0
2000-01-20,29.0,29.0,28.38,28.69,18.0151274994564,49600.0,0.0,1.0
2000-01-21,28.66,28.77,28.33,28.33,17.7890750107912,45700.0,0.0,1.0
2000-01-24,28.52,28.55,27.5,27.52,17.2804569112945,51600.0,0.0,1.0
2000-01-25,27.16,27.39,26.81,27.36,17.1799891385544,89700.0,0.0,1.0
