date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-11-01,42.63,42.97,42.41,42.44,31.5753438825504,230800.0,0.0,1.0
1999-11-02,42.44,42.94,42.14,42.25,31.4339839547067,156300.0,0.0,1.0
1999-11-03,42.88,43.13,42.63,42.88,31.9027037154515,209200.0,0.0,1.0
1999-11-04,43.44,43.47,42.91,43.2,32.140783593925,409100.0,0.0,1.0
1999-11-05,44.25,44.25,43.47,43.67,32.490463415433,898000.0,0.0,1.0
1999-11-08,43.19,44.3,43.19,44.11,32.8178232483341,377100.0,0.0,1.0
1999-11-09,44.48,44.5,43.5,43.63,32.4607034306238,981500.0,0.0,1.0
1999-11-10,43.5,44.73,43.5,44.39,33.0261431419984,583900.0,0.0,1.0
1999-11-11,44.72,45.25,44.67,45.0,33.4799829103385,295500.0,0.0,1.0
1999-11-12,45.61,45.63,44.03,45.25,33.665982815396,439300.0,0.0,1.0
1999-11-15,45.34,45.34,44.86,45.05,33.51718289135,187300.0,0.0,1.0
1999-11-16,45.41,46.0,45.03,46.0,34.2239825305683,255600.0,0.0,1.0
1999-11-17,46.19,46.38,45.5,45.56,33.8966226976672,515600.0,0.0,1.0
1999-11-18,46.25,47.11,45.91,47.11,35.0498221090233,752800.0,0.0,1.0
1999-11-19,47.16,47.63,46.75,47.55,35.3771819419244,445300.0,0.0,1.0
1999-11-22,47.44,48.0,47.38,47.84,35.592941831791,436200.0,0.0,1.0
1999-11-23,48.23,48.23,46.78,47.42,35.2804619912945,585000.0,0.0,1.0
1999-11-24,47.28,48.33,47.02,48.16,35.8310217102645,626700.0,0.0,1.0
1999-11-26,48.39,49.0,48.39,48.53,36.1063015697495,425900.0,0.0,1.0
1999-11-29,48.38,48.81,48.08,48.11,35.793821729253,353200.0,0.0,1.0
1999-11-30,47.88,48.11,46.47,46.67,34.7224622761222,436200.0,0.0,1.0
1999-12-01,46.5,47.47,46.5,47.13,35.0647021014279,900500.0,0.0,1.0
1999-12-02,47.63,48.53,47.63,48.25,35.8979816760852,208600.0,0.0,1.0
1999-12-03,49.63,50.13,49.34,49.63,36.9247011520023,623100.0,0.0,1.0
1999-12-06,49.47,50.34,49.31,49.97,37.1776610228804,347400.0,0.0,1.0
1999-12-07,50.31,50.31,49.53,50.09,37.2669409773079,204500.0,0.0,1.0
1999-12-08,49.56,50.13,49.5,49.56,36.8726211785862,407900.0,0.0,1.0
1999-12-09,50.06,50.25,48.59,49.44,36.7833412241586,1187500.0,0.0,1.0
1999-12-10,49.81,50.0,48.81,49.69,36.969341129216,226600.0,0.0,1.0
1999-12-13,49.67,50.44,49.31,50.02,37.2148610038919,377000.0,0.0,1.0
1999-12-14,50.19,50.19,48.81,49.06,36.5006213684713,716100.0,0.0,1.0
1999-12-15,48.94,50.06,48.13,50.06,37.2446209887011,1248400.0,0.0,1.0
1999-12-16,50.44,51.13,50.31,51.0,37.943980631717,419400.0,0.0,1.0
1999-12-17,51.56,51.84,51.19,51.56,38.3616047305432,397700.0,0.0013,1.0
1999-12-20,51.75,52.25,51.38,52.06,38.7336140859597,289200.0,0.0,1.0
1999-12-21,52.19,53.22,51.81,53.06,39.4776327967925,381800.0,0.0,1.0
1999-12-22,53.5,53.69,52.36,53.06,39.4776327967925,307700.0,0.0,1.0
1999-12-23,53.56,54.0,53.28,53.34,39.6859580358258,359200.0,0.0,1.0
1999-12-27,53.94,53.94,52.63,53.75,39.9910057072672,626000.0,0.0,1.0
1999-12-28,53.63,53.94,53.13,53.25,39.6189963518508,700400.0,0.0,1.0
1999-12-29,53.38,54.25,53.38,54.11,40.2588524431671,583500.0,0.0,1.0
1999-12-30,55.0,55.0,53.94,54.06,40.2216515076254,1689800.0,0.0,1.0
1999-12-31,54.16,54.44,53.81,53.88,40.0877281396755,755300.0,0.0,1.0
2000-01-03,55.63,55.63,55.13,55.44,41.2483973285748,938100.0,0.0,1.0
2000-01-04,54.0,54.75,52.31,52.63,39.1577047511344,545500.0,0.0,1.0
2000-01-05,51.75,52.88,50.13,52.66,39.1800253124594,1906000.0,0.0,1.0
2000-01-06,51.25,52.09,49.63,50.13,37.2976579740522,1670000.0,0.0,1.0
