date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-11-03,28.03,28.03,27.73,27.95,18.9525187631254,7400.0,0.0,1.0
1999-11-04,28.13,28.38,28.13,28.27,19.1695064555834,8800.0,0.0,1.0
1999-11-05,28.66,28.66,28.14,28.14,19.0813552055224,23600.0,0.0,1.0
1999-11-08,28.0,28.25,28.0,28.19,19.1152595324689,16600.0,0.0,1.0
1999-11-09,28.31,28.33,27.94,28.0,18.986423090072,10000.0,0.0,1.0
1999-11-10,27.67,28.19,27.67,28.17,19.1016978016903,21300.0,0.0,1.0
1999-11-11,28.42,28.59,28.34,28.5,19.3254663595376,8000.0,0.0,1.0
1999-11-12,28.89,29.13,28.53,29.06,19.705194821339,33500.0,0.0,1.0
1999-11-15,29.0,29.34,29.0,29.19,19.7933460714001,15700.0,0.0,1.0
1999-11-16,29.25,29.61,29.25,29.56,20.0442380908046,17700.0,0.0,1.0
1999-11-17,29.5,29.5,29.25,29.27,19.8475929945145,3300.0,0.0,1.0
1999-11-18,29.28,29.66,29.28,29.45,19.9696485715222,8200.0,0.0,1.0
1999-11-19,29.47,29.47,29.27,29.31,19.8747164560718,8700.0,0.0,1.0
1999-11-22,29.0,29.09,28.88,29.0,19.6645096290031,15700.0,0.0,1.0
1999-11-23,28.91,28.91,28.47,28.52,19.3390280903162,7000.0,0.0,1.0
1999-11-24,28.44,28.92,28.44,28.92,19.6102627058887,21400.0,0.0,1.0
1999-11-26,28.81,28.81,28.69,28.69,19.4543028019345,9400.0,0.0,1.0
1999-11-29,28.52,28.72,28.52,28.52,19.3390280903162,31700.0,0.0,1.0
1999-11-30,28.56,28.81,28.41,28.5,19.3254663595376,7500.0,0.0,1.0
1999-12-01,28.47,28.59,28.38,28.44,19.2847811672017,40700.0,0.0,1.0
1999-12-02,28.5,28.69,28.5,28.69,19.4543028019345,20800.0,0.0,1.0
1999-12-03,28.94,29.66,28.94,29.25,19.8340312637359,24600.0,0.0,1.0
1999-12-06,29.36,29.44,29.25,29.42,19.9493059753542,40700.0,0.0,1.0
1999-12-07,29.44,29.56,29.34,29.34,19.8950590522397,11500.0,0.0,1.0
1999-12-08,29.41,29.73,29.41,29.63,20.0917041485298,38900.0,0.0,1.0
1999-12-09,29.83,30.13,29.83,30.08,20.3968430910488,12100.0,0.0,1.0
1999-12-10,30.25,30.25,29.77,29.89,20.2680066486519,18800.0,0.0,1.0
1999-12-13,29.69,29.95,29.69,29.69,20.1323893408656,10700.0,0.0,1.0
1999-12-14,29.53,29.83,29.53,29.75,20.1730745332015,16000.0,0.0,1.0
1999-12-15,29.56,29.91,29.45,29.5,20.0035528984687,8400.0,0.0,1.0
1999-12-16,29.63,29.73,29.38,29.73,20.1595128024229,9500.0,0.0,1.0
1999-12-17,29.97,30.25,29.81,30.25,20.5121178026671,485300.0,0.0,1.0
1999-12-20,30.16,30.41,29.97,29.97,20.4417120773298,301300.0,0.1762,1.0
1999-12-21,29.81,30.06,29.72,29.78,20.3121183070698,558700.0,0.0,1.0
1999-12-22,29.86,30.0,29.78,29.81,20.3325804813214,153500.0,0.0,1.0
1999-12-23,30.0,30.53,30.0,30.44,20.7622861406046,445400.0,0.0,1.0
1999-12-27,30.75,30.75,30.44,30.44,20.7622861406046,500800.0,0.0,1.0
1999-12-28,30.41,30.67,30.41,30.5,20.8032104891078,112800.0,0.0,1.0
1999-12-29,30.31,30.48,30.31,30.48,20.7895690396067,27900.0,0.0,1.0
1999-12-30,30.41,30.75,30.41,30.59,20.8645970118625,7300.0,0.0,1.0
1999-12-31,30.59,30.89,30.59,30.89,21.0692187543783,7200.0,0.0,1.0
2000-01-03,31.0,31.0,30.06,30.3,20.6667959940972,246700.0,0.0,1.0
2000-01-04,30.19,30.2,29.53,29.61,20.1961659863109,35300.0,0.0,1.0
2000-01-05,29.78,29.78,29.22,29.53,20.1416001883067,137600.0,0.0,1.0
2000-01-06,29.31,29.56,29.16,29.44,20.0802136655519,50000.0,0.0,1.0
2000-01-07,29.47,29.8,29.36,29.8,20.3257597565709,22100.0,0.0,1.0
2000-01-10,32.25,32.94,31.63,32.84,22.3992600807311,31800.0,0.0,1.0
2000-01-11,32.53,32.53,31.97,31.97,21.8058570274353,17900.0,0.0,1.0
2000-01-12,32.22,32.22,31.31,31.44,21.4443586156573,12400.0,0.0,1.0
2000-01-13,31.72,32.44,31.59,32.38,22.0855067422069,600000.0,0.0,1.0
2000-01-14,32.59,32.59,31.91,32.09,21.8877057244416,23600.0,0.0,1.0
2000-01-18,31.88,31.88,31.47,31.5,21.4852829641605,417300.0,0.0,1.0
2000-01-19,31.59,32.25,31.5,32.25,21.99683732045,10400.0,0.0,1.0
2000-01-20,32.41,32.5,31.88,32.0,21.8263192016869,64200.0,0.0,1.0
2000-01-21,31.88,32.05,31.69,31.94,21.7853948531837,37300.0,0.0,1.0
2000-01-24,32.03,32.19,30.98,30.98,21.1306052771331,72100.0,0.0,1.0
2000-01-25,31.25,31.44,31.0,31.2,21.2806612216447,24400.0,0.0,1.0
2000-01-26,31.19,31.3,31.0,31.06,21.1851710751373,10500.0,0.0,1.0
2000-01-27,31.2,31.39,30.88,30.88,21.0623980296278,10700.0,0.0,1.0
2000-01-28,30.94,31.03,30.25,30.25,20.6326923703446,18100.0,0.0,1.0
2000-01-31,30.38,30.38,29.86,30.11,20.5372022238372,27500.0,0.0,1.0
2000-02-01,30.22,30.53,30.16,30.5,20.8032104891078,161600.0,0.0,1.0
2000-02-02,30.72,31.25,30.72,31.25,21.3147648453973,7700.0,0.0,1.0
2000-02-03,31.2,31.61,31.02,31.53,21.5057451384121,31500.0,0.0,1.0
2000-02-04,31.73,31.81,31.56,31.64,21.5807731106679,11300.0,0.0,1.0
2000-02-07,31.63,31.63,30.98,31.13,21.232916148391,36400.0,0.0,1.0
2000-02-08,31.19,31.53,31.19,31.47,21.4648207899089,265000.0,0.0,1.0
2000-02-09,31.44,31.44,30.77,30.91,21.0828602038794,19000.0,0.0,1.0
2000-02-10,30.88,31.06,30.63,30.64,20.8987006356152,5000.0,0.0,1.0
2000-02-11,30.64,30.88,30.58,30.66,20.9123420851162,9200.0,0.0,1.0
2000-02-14,30.31,30.47,29.91,30.09,20.5235607743362,14900.0,0.0,1.0
2000-02-15,30.03,30.03,29.63,29.86,20.3666841050741,23100.0,0.0,1.0
2000-02-16,29.63,29.75,29.0,29.02,19.7937432260298,35000.0,0.0,1.0
2000-02-17,29.16,29.3,28.88,29.0,19.7801017765287,15300.0,0.0,1.0
2000-02-18,28.94,28.98,28.2,28.2,19.2344437964865,109900.0,0.0,1.0
2000-02-22,28.45,28.45,27.84,28.0,19.098029301476,35300.0,0.0,1.0
2000-02-23,27.94,28.63,27.94,28.44,19.3981411904992,17500.0,0.0,1.0
2000-02-24,28.47,28.59,27.75,28.22,19.2480852459876,172800.0,0.0,1.0
2000-02-25,28.16,28.19,27.0,27.34,18.6478614679412,21200.0,0.0,1.0
2000-02-28,27.47,27.83,27.28,27.83,18.982076980717,103600.0,0.0,1.0
2000-02-29,27.94,28.36,27.83,28.14,19.1935194479834,15500.0,0.0,1.0
2000-03-01,28.27,28.53,28.03,28.38,19.357216841996,26700.0,0.0,1.0
2000-03-02,28.34,28.44,28.16,28.25,19.2685474202392,47600.0,0.0,1.0
2000-03-03,28.47,28.7,28.34,28.64,19.5345556855097,372700.0,0.0,1.0
