date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-11-01,28.5,28.63,28.19,28.19,20.9146978995627,12700.0,0.0,1.0
1999-11-02,28.05,28.55,27.98,27.98,20.7588948999562,3300.0,0.0,1.0
1999-11-03,28.06,28.09,27.75,27.75,20.5882535194348,3100.0,0.0,1.0
1999-11-04,27.94,28.13,27.94,28.09,20.8405059949882,18600.0,0.0,1.0
1999-11-05,28.36,28.5,28.2,28.28,20.9814706136798,7000.0,0.0,1.0
1999-11-08,28.22,28.38,28.19,28.19,20.9146978995627,2500.0,0.0,1.0
1999-11-09,28.06,28.06,27.78,27.89,20.6921221858391,11900.0,0.0,1.0
1999-11-10,28.08,28.2,28.0,28.0,20.7737332808711,7500.0,0.0,1.0
1999-11-11,28.06,28.22,28.03,28.06,20.8182484236158,5700.0,0.0,1.0
1999-11-12,28.56,28.72,28.22,28.72,21.3079149938078,7900.0,0.0,1.0
1999-11-15,28.47,29.03,28.47,28.77,21.3450109460951,6200.0,0.0,1.0
1999-11-16,28.88,29.13,28.69,28.89,21.4340412315845,5100.0,0.0,1.0
1999-11-17,28.97,29.09,28.63,28.64,21.2485614701482,13500.0,0.0,1.0
1999-11-18,28.83,28.83,28.61,28.77,21.3450109460951,2200.0,0.0,1.0
1999-11-19,28.67,28.72,28.45,28.5,21.1446928037438,14700.0,0.0,1.0
1999-11-22,28.13,28.22,28.09,28.17,20.8998595186478,2100.0,0.0,1.0
1999-11-23,28.09,28.13,27.89,28.06,20.8182484236158,10100.0,0.0,1.0
1999-11-24,28.0,28.28,27.95,28.22,20.9369554709351,4200.0,0.0,1.0
1999-11-26,28.22,28.56,28.22,28.56,21.1892079464885,6700.0,0.0,1.0
1999-11-29,28.47,28.88,28.47,28.81,21.3746877079249,8900.0,0.0,1.0
1999-11-30,28.86,28.97,28.41,28.41,21.0779200896267,6900.0,0.0,1.0
