date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-11-07,5.6,5.73,5.6,5.6,1.86666666666667,32567.0,0.0,1.0
2017-11-08,5.6,5.65,5.6,5.6,1.86666666666667,118463.0,0.0,1.0
2017-11-09,5.6,5.63,5.6,5.601,1.867,34684.0,0.0,1.0
2017-11-10,5.65,5.76,5.61,5.72,1.90666666666667,9844.0,0.0,1.0
2017-11-13,5.76,6.189,5.72,5.97,1.99,21849.0,0.0,1.0
2017-11-14,6.15,6.35,5.65,5.97,1.99,60435.0,0.0,1.0
2017-11-15,5.91,6.24,5.79,6.24,2.08,36785.0,0.0,1.0
2017-11-16,6.2,6.59,6.2,6.52,2.17333333333333,33634.0,0.0,1.0
2017-11-17,6.7,6.89,6.59,6.89,2.29666666666667,31430.0,0.0,1.0
2017-11-20,7.0,7.84,6.98,7.34,2.44666666666667,56051.0,0.0,1.0
2017-11-21,7.65,7.65,7.36,7.42,2.47333333333333,40067.0,0.0,1.0
2017-11-22,7.5,7.503,6.9,6.95,2.31666666666667,23161.0,0.0,1.0
2017-11-24,6.85,7.21,6.85,6.87,2.29,25474.0,0.0,1.0
2017-11-27,6.87,7.2,6.8293,6.9,2.3,23785.0,0.0,1.0
2017-11-28,6.87,6.881,6.7079,6.8,2.26666666666667,6268.0,0.0,1.0
2017-11-29,6.82,7.05,6.54,6.78,2.26,25496.0,0.0,1.0
2017-11-30,6.67,6.9,6.64,6.75,2.25,2902.0,0.0,1.0
2017-12-01,6.4,6.9,6.4,6.79,2.26333333333333,13688.0,0.0,1.0
2017-12-04,6.79,6.79,6.4,6.46,2.15333333333333,22783.0,0.0,1.0
2017-12-05,6.41,6.41,5.8801,5.98,1.99333333333333,21787.0,0.0,1.0
2017-12-06,6.0,6.11,5.8,5.89,1.96333333333333,18021.0,0.0,1.0
2017-12-07,5.91,6.2572,5.81,5.9,1.96666666666667,7115.0,0.0,1.0
2017-12-08,5.92,6.24,5.92,6.05,2.01666666666667,2474.0,0.0,1.0
2017-12-11,5.98,6.2,5.95,5.96,1.98666666666667,18791.0,0.0,1.0
2017-12-12,6.1,6.11,5.69,5.84,1.94666666666667,19606.0,0.0,1.0
2017-12-13,5.85,6.0,5.51,5.53,1.84333333333333,20382.0,0.0,1.0
2017-12-14,5.58,5.79,5.54,5.54,1.84666666666667,15393.0,0.0,1.0
2017-12-15,5.55,5.7,5.0,5.0,1.66666666666667,54051.0,0.0,1.0
2017-12-18,5.0,5.22,5.0,5.14,1.71333333333333,40731.0,0.0,1.0
2017-12-19,5.18,5.24,5.02,5.02,1.67333333333333,27063.0,0.0,1.0
2017-12-20,5.152,5.152,4.82,4.82,1.60666666666667,26442.0,0.0,1.0
2017-12-21,4.89,5.21,4.85,5.16,1.72,14681.0,0.0,1.0
2017-12-22,5.02,5.03,4.95,4.95,1.65,16092.0,0.0,1.0
2017-12-26,4.969,5.05,4.969,5.01,1.67,10407.0,0.0,1.0
2017-12-27,5.01,5.02,4.91,4.92,1.64,61726.0,0.0,1.0
2017-12-28,4.98,5.115,4.94,5.05,1.68333333333333,5712.0,0.0,1.0
2017-12-29,5.05,5.25,5.05,5.25,1.75,6813.0,0.0,1.0
2018-01-02,5.25,5.62,5.06,5.62,1.87333333333333,4885.0,0.0,1.0
2018-01-03,5.6,5.622,5.201,5.3,1.76666666666667,9605.0,0.0,1.0
2018-01-04,5.27,5.46,5.146,5.315,1.77166666666667,3088.0,0.0,1.0
2018-01-05,5.3,5.528,5.3,5.51,1.83666666666667,2814.0,0.0,1.0
