date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-11-15,14.4,15.27,13.74,14.11,13.5141774038876,1678006.0,0.0,1.0
2022-11-16,13.61,13.9,11.0166,11.39,10.9090347718129,468853.0,0.0,1.0
2022-11-17,12.01,15.7,11.8,14.92,14.289973555351,1942930.0,0.0,1.0
2022-11-18,15.01,15.36,12.6,13.13,12.5755598379195,1038183.0,0.0,1.0
2022-11-21,12.6,13.16,12.2,12.44,11.9146964496358,298809.0,0.0,1.0
2022-11-22,12.0,12.26,11.2386,11.35,10.8707238507529,423158.0,0.0,1.0
2022-11-23,12.0,12.1,11.15,11.47,10.9856566139327,293498.0,0.0,1.0
2022-11-25,11.6,11.88,11.19,11.64,11.1484780284374,124310.0,0.0,1.0
2022-11-28,12.22,12.8,12.02,12.4,11.8763855285759,607744.0,0.0,1.0
2022-11-29,13.5,13.79,12.02,12.75,12.2116060878502,1110666.0,0.0,1.0
2022-11-30,13.9799,15.8,13.2,15.23,14.5868831935654,1493067.0,0.0,1.0
2022-12-01,14.79,16.12,14.65,15.83,15.1615470094642,960789.0,0.0,1.0
2022-12-02,15.22,18.88,14.85,17.69,16.9430048387506,2141755.0,0.0,1.0
2022-12-05,18.6,18.61,15.1,15.37,14.7209714172751,1154121.0,0.0,1.0
2022-12-06,15.62,16.0,14.381,15.88,15.2094356607891,580774.0,0.0,1.0
2022-12-07,15.2,15.38,14.33,14.89,14.2612403645561,381723.0,0.0,1.0
2022-12-08,16.0,17.2,15.79,16.6,15.8990322398677,1029239.0,0.0,1.0
2022-12-09,16.37,16.58,16.21,16.54,15.8415658582778,141950.0,0.0,1.0
2022-12-12,15.4,16.59,15.35,16.59,15.8894545096028,336078.0,0.0,1.0
2022-12-13,16.89,17.755,16.6,17.4,16.6652506610662,365850.0,0.0,1.0
2022-12-14,17.28,17.49,16.4964,16.78,16.0714313846374,299576.0,0.0,1.0
2022-12-15,16.83,17.3,16.09,16.51,15.8128326674829,261407.0,0.0,1.0
2022-12-16,16.68,16.89,16.0,16.68,15.9756540819876,187445.0,0.0,1.0
2022-12-19,15.9,16.66,15.69,16.64,15.9373431609277,283778.0,0.0,1.0
2022-12-20,16.21,17.5,16.02,17.44,16.7035615821261,317610.0,0.0,1.0
2022-12-21,17.45,18.8,17.2278,18.72,17.9295110560436,354143.0,0.0,1.0
2022-12-22,18.4,18.67,17.7,18.11,17.3452695098798,203800.0,0.0,1.0
2022-12-23,18.41,18.8095,18.1,18.5,17.718800990214,117529.0,0.0,1.0
2022-12-27,18.73,18.91,17.51,17.85,17.0962485229903,559814.0,0.0,1.0
2022-12-28,18.16,18.4,16.36,16.55,15.8511435885428,705438.0,0.0,1.0
2022-12-29,16.5,18.195,16.49,18.01,17.24949220723,386057.0,0.0,1.0
2022-12-30,17.35,18.15,17.35,18.02,17.259069937495,292221.0,0.0,1.0
2023-01-03,18.11,19.57,17.8,19.33,18.5137526022074,482015.0,0.0,1.0
2023-01-04,19.89,20.0,19.0,19.34,18.5233303324724,449310.0,0.0,1.0
2023-01-05,19.04,19.7,18.58,19.35,18.5329080627374,411341.0,0.0,1.0
2023-01-06,18.75,19.3,18.34,18.36,17.5847127665043,204773.0,0.0,1.0
2023-01-09,19.419,20.5,18.91,20.45,19.5864583918852,680211.0,0.0,1.0
2023-01-10,20.29,21.445,20.05,21.11,20.218588589374,240760.0,0.0,1.0
2023-01-11,21.37,22.37,20.2349,22.02,21.0901620434872,180611.0,0.0,1.0
2023-01-12,22.0,22.17,20.23,20.35,19.4906810892354,173769.0,0.0,1.0
2023-01-13,20.37,25.5,20.37,25.4,24.3274348730506,580858.0,0.0,1.0
2023-01-17,24.5,24.5,22.04,22.21,21.2721389185218,436099.0,0.0,1.0
2023-01-18,22.3,23.5,21.7,21.87,20.9464960895125,447302.0,0.0,1.0
2023-01-19,21.74,25.34,21.74,25.28,24.2125021098709,298466.0,0.0,1.0
2023-01-20,25.3,27.35,24.51,27.09,25.9460712878323,274276.0,0.0,1.0
2023-01-23,27.43,27.43,25.81,26.55,25.4288738535234,133968.0,0.0,1.0
2023-01-24,26.64,29.4,26.01,29.08,27.8520396105635,167034.0,0.0,1.0
2023-01-25,28.285,29.124,26.81,27.13,25.9843822088923,276271.0,0.0,1.0
2023-01-26,27.35,28.42,23.8,24.66,23.6186828334421,763495.0,0.0,1.0
2023-01-27,25.3,26.22,24.9,25.0,23.9443256624514,326529.0,0.0,1.0
2023-01-30,24.5,28.69,23.5,27.87,26.6931342485008,742140.0,0.0,1.0
2023-01-31,26.82,27.2,26.02,26.9,25.7640944127977,206365.0,0.0,1.0
2023-02-01,26.89,27.07,25.12,25.6,24.5189894783502,146721.0,0.0,1.0
2023-02-02,25.61,26.69,24.8,26.63,25.5054956956432,250099.0,0.0,1.0
2023-02-03,25.01,26.36,25.01,25.03,23.9730588532463,92486.0,0.0,1.0
2023-02-06,24.83,25.4,22.79,23.14,22.162867833165,324819.0,0.0,1.0
2023-02-07,24.42,25.69,24.28,25.64,24.5573003994102,279334.0,0.0,1.0
2023-02-08,25.91,26.11,24.06,26.08,24.9787205310693,150319.0,0.0,1.0
2023-02-09,26.51,28.18,25.355,26.09,24.9882982613343,297084.0,0.0,1.0
2023-02-10,25.0,25.8744,25.0,25.28,24.2125021098709,68266.0,0.0,1.0
