date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-11-03,17.38,17.38,16.63,17.25,1.98014606173863,4600.0,0.0,1.0
1999-11-04,17.0,17.0,16.44,16.5,1.89405275470652,34200.0,0.0,1.0
1999-11-05,16.38,16.44,16.06,16.31,1.87224245025838,3300.0,0.0,1.0
1999-11-08,16.44,16.44,15.75,16.0,1.83665721668511,2600.0,0.0,1.0
1999-11-09,15.88,16.0,15.44,16.0,1.83665721668511,6600.0,0.0,1.0
1999-11-10,15.75,15.94,15.5,15.5,1.7792616786637,5600.0,0.0,1.0
1999-11-11,15.38,15.38,15.38,15.38,1.76548674953856,1500.0,0.0,1.0
1999-11-12,15.38,15.75,15.38,15.63,1.79418451854927,5200.0,0.0,1.0
1999-11-15,15.63,16.06,15.63,16.06,1.84354468124768,3600.0,0.0,1.0
1999-11-16,15.81,15.88,15.63,15.75,1.8079594476744,5700.0,0.0,1.0
1999-11-17,15.63,15.75,15.5,15.5,1.7792616786637,5500.0,0.0,1.0
1999-11-18,15.5,15.88,15.5,15.69,1.80107198311184,6800.0,0.0,1.0
1999-11-19,15.69,15.81,15.63,15.81,1.81484691223697,6300.0,0.0,1.0
1999-11-22,15.81,15.88,15.75,15.75,1.8079594476744,4500.0,0.0,1.0
1999-11-23,16.0,16.0,15.38,15.63,1.79418451854927,58400.0,0.0,1.0
1999-11-24,15.63,15.81,15.5,15.5,1.7792616786637,2400.0,0.0,1.0
1999-11-26,15.0,15.5,15.0,15.44,1.77237421410113,3600.0,0.0,1.0
1999-11-29,15.38,15.38,15.0,15.13,1.73678898052786,9500.0,0.0,1.0
1999-11-30,15.25,15.25,15.19,15.19,1.74367644509043,900.0,0.0,1.0
1999-12-01,15.13,15.5,15.06,15.5,1.7792616786637,4000.0,0.0,1.0
1999-12-02,15.38,15.38,15.06,15.19,1.74367644509043,2500.0,0.0,1.0
1999-12-03,15.38,15.38,15.06,15.06,1.72875360520486,5900.0,0.0,1.0
1999-12-06,15.0,15.06,14.75,15.06,1.72875360520486,11500.0,0.0,1.0
1999-12-07,15.06,15.06,14.81,14.94,1.71497867607972,10500.0,0.0,1.0
1999-12-08,14.88,14.88,14.75,14.75,1.69316837163159,700.0,0.0,1.0
1999-12-09,14.88,15.31,14.88,15.31,1.75745137421556,6600.0,0.0,1.0
1999-12-10,15.44,16.0,15.31,15.31,1.75745137421556,9100.0,0.0,1.0
1999-12-13,15.38,15.38,14.69,14.81,1.70005583619415,7500.0,0.0,1.0
1999-12-14,14.75,15.44,14.75,15.31,1.75745137421556,3200.0,0.0,1.0
1999-12-15,15.31,15.31,15.06,15.13,1.73678898052786,2500.0,0.0,1.0
1999-12-16,15.38,15.38,15.38,15.38,1.76548674953856,200.0,0.0,1.0
1999-12-17,15.25,15.25,15.25,15.25,1.750563909653,800.0,0.0,1.0
1999-12-20,15.13,15.25,15.0,15.13,1.73678898052786,4800.0,0.0,1.0
1999-12-21,15.13,15.13,14.88,15.0,1.72186614064229,5200.0,0.0,1.0
1999-12-22,14.94,15.0,14.56,14.56,1.67135806718345,2000.0,0.0,1.0
1999-12-23,14.5,14.88,14.38,14.63,1.67939344250645,6000.0,0.0,1.0
1999-12-27,14.5,14.5,14.38,14.44,1.65758313805831,4300.0,0.0,1.0
1999-12-28,14.44,14.44,14.38,14.38,1.65069567349574,1200.0,0.0,1.0
1999-12-29,14.38,14.75,14.38,14.63,1.6937423270118,3200.0,0.125,1.0
1999-12-30,14.75,14.75,14.38,14.5,1.67869198507663,14000.0,0.0,1.0
1999-12-31,14.38,15.25,14.38,15.13,1.75162825753168,18700.0,0.0,1.0
2000-01-03,15.38,15.38,15.0,15.12,1.75047053892129,5400.0,0.0,1.0
2000-01-04,14.88,14.94,14.75,14.94,1.72963160393413,1100.0,0.0,1.0
2000-01-05,15.0,15.13,14.88,14.94,1.72963160393413,20900.0,0.0,1.0
2000-01-06,15.0,15.0,14.75,14.81,1.71458126199896,2600.0,0.0,1.0
2000-01-07,14.75,14.81,14.63,14.75,1.70763495033657,3000.0,0.0,1.0
2000-01-10,14.75,14.75,14.44,14.69,1.70068863867419,1200.0,0.0,1.0
2000-01-11,14.69,14.69,14.69,14.69,1.70068863867419,0.0,0.0,1.0
2000-01-12,14.88,14.88,14.88,14.88,1.72268529227174,1000.0,0.0,1.0
2000-01-13,14.81,15.0,14.81,15.0,1.73657791559651,2100.0,0.0,1.0
2000-01-14,15.13,15.56,15.13,15.56,1.80141015777878,8800.0,0.0,1.0
2000-01-18,15.5,15.75,15.25,15.31,1.77246719251884,7500.0,0.0,1.0
2000-01-19,15.5,15.5,14.75,14.94,1.72963160393413,7000.0,0.0,1.0
2000-01-20,14.75,14.75,14.06,14.44,1.67174567341424,4000.0,0.0,1.0
2000-01-21,14.25,14.38,13.69,13.75,1.5918630892968,7700.0,0.0,1.0
2000-01-24,13.88,14.13,13.75,14.06,1.62775236621913,14300.0,0.0,1.0
2000-01-25,14.06,14.25,14.0,14.0,1.62080605455675,17100.0,0.0,1.0
2000-01-26,14.0,14.0,12.75,13.13,1.52008453545215,8800.0,0.0,1.0
2000-01-27,12.94,13.25,12.81,13.13,1.52008453545215,7500.0,0.0,1.0
2000-01-28,13.0,13.88,13.0,13.88,1.60691343123197,4100.0,0.0,1.0
2000-01-31,14.0,14.25,14.0,14.0,1.62080605455675,8300.0,0.0,1.0
2000-02-01,13.94,14.06,13.94,14.0,1.62080605455675,3900.0,0.0,1.0
2000-02-02,14.0,14.0,14.0,14.0,1.62080605455675,10400.0,0.0,1.0
2000-02-03,13.94,14.25,13.94,14.06,1.62775236621913,12900.0,0.0,1.0
2000-02-04,13.94,14.31,13.63,14.06,1.62775236621913,7500.0,0.0,1.0
2000-02-07,14.0,14.06,13.88,14.06,1.62775236621913,4300.0,0.0,1.0
