date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-11-03,61.12,61.19,59.5,60.75,30.375,186900.0,0.0,1.0
1999-11-04,60.75,61.44,60.38,61.06,30.53,282700.0,0.0,1.0
1999-11-05,62.5,63.0,61.19,61.25,30.625,207100.0,0.0,1.0
1999-11-08,60.5,61.5,60.31,60.62,30.31,169200.0,0.0,1.0
1999-11-09,61.5,63.5,61.5,62.69,31.345,2856100.0,0.0,1.0
1999-11-10,64.25,70.12,64.0,69.0,34.5,1283000.0,0.0,1.0
1999-11-11,69.5,72.38,69.5,71.75,35.875,532700.0,0.0,1.0
1999-11-12,72.5,72.5,68.5,69.75,34.875,866900.0,0.0,1.0
1999-11-15,69.75,69.75,68.62,68.69,34.345,295500.0,0.0,1.0
1999-11-16,68.69,68.69,67.5,68.25,34.125,419900.0,0.0,1.0
1999-11-17,68.06,68.69,67.75,67.75,33.875,418500.0,0.0,1.0
1999-11-18,68.25,69.38,68.12,68.69,34.345,164600.0,0.0,1.0
1999-11-19,68.44,70.38,68.44,69.75,34.875,245200.0,0.0,1.0
1999-11-22,69.81,70.25,69.06,69.25,34.625,249200.0,0.0,1.0
1999-11-23,70.12,70.19,68.75,69.06,34.53,233800.0,0.0,1.0
1999-11-24,69.06,69.06,67.62,68.38,34.19,335500.0,0.0,1.0
1999-11-26,69.75,75.75,69.75,72.88,36.44,194800.0,0.0,1.0
1999-11-29,74.0,76.5,73.62,74.44,37.22,251200.0,0.0,1.0
1999-11-30,74.88,74.88,70.25,70.25,35.125,135400.0,0.0,1.0
1999-12-01,70.0,70.56,68.75,69.94,34.97,294100.0,0.0,1.0
1999-12-02,70.0,71.81,69.75,70.19,35.095,174100.0,0.0,1.0
1999-12-03,71.0,74.12,71.0,72.94,36.47,180000.0,0.0,1.0
1999-12-06,73.88,76.25,73.38,76.0,38.0,203900.0,0.0,1.0
1999-12-07,80.75,82.25,79.75,81.5,40.75,436100.0,0.0,1.0
1999-12-08,81.69,83.94,81.69,82.19,41.095,339800.0,0.0,1.0
1999-12-09,83.5,84.25,82.38,83.25,41.625,326200.0,0.0,1.0
1999-12-10,85.62,87.12,84.44,86.75,43.375,409600.0,0.0,1.0
1999-12-13,88.0,93.25,87.94,90.56,45.28,369900.0,0.0,1.0
1999-12-14,84.5,84.56,80.75,81.62,40.81,841500.0,0.0,1.0
1999-12-15,80.5,80.5,75.31,79.12,39.56,932400.0,0.0,1.0
1999-12-16,80.0,87.38,79.94,86.62,43.31,403100.0,0.0,1.0
1999-12-17,89.5,92.12,88.5,91.62,45.81,429600.0,0.0,1.0
1999-12-20,94.25,100.38,94.12,97.88,48.94,344900.0,0.0,1.0
1999-12-21,98.0,99.62,94.75,97.12,48.56,285100.0,0.0,1.0
1999-12-22,49.0,51.0,48.38,50.62,50.62,258650.0,0.0,2.0
1999-12-23,52.0,54.0,51.69,54.0,54.0,676500.0,0.0,1.0
1999-12-27,54.5,56.0,52.5,53.88,53.88,383700.0,0.0,1.0
1999-12-28,53.88,55.38,53.75,54.19,54.19,249500.0,0.0,1.0
1999-12-29,56.5,57.0,55.62,56.25,56.25,426200.0,0.0,1.0
1999-12-30,56.81,56.94,54.19,54.38,54.38,164700.0,0.0,1.0
1999-12-31,54.75,55.75,54.75,55.5,55.5,93700.0,0.0,1.0
2000-01-03,56.0,57.0,51.38,53.25,53.25,552500.0,0.0,1.0
2000-01-04,52.0,52.44,46.81,47.12,47.12,619000.0,0.0,1.0
2000-01-05,46.25,47.0,41.25,43.75,43.75,1447900.0,0.0,1.0
2000-01-06,43.25,44.75,43.25,43.88,43.88,594800.0,0.0,1.0
2000-01-07,43.88,46.0,43.5,46.0,46.0,916800.0,0.0,1.0
2000-01-10,46.0,49.81,46.0,49.62,49.62,1223900.0,0.0,1.0
2000-01-11,49.75,50.0,45.81,46.81,46.81,669400.0,0.0,1.0
2000-01-12,47.5,48.5,46.38,46.81,46.81,1435000.0,0.0,1.0
2000-01-13,49.25,49.25,46.62,47.12,47.12,894900.0,0.0,1.0
2000-01-14,48.0,48.0,47.0,47.0,47.0,767900.0,0.0,1.0
2000-01-18,46.12,46.38,44.81,45.69,45.69,861900.0,0.0,1.0
2000-01-19,46.0,46.0,42.5,44.5,44.5,800600.0,0.0,1.0
2000-01-20,44.5,45.44,43.38,45.06,45.06,839400.0,0.0,1.0
2000-01-21,46.0,46.94,45.25,45.62,45.62,1138800.0,0.0,1.0
2000-01-24,46.12,46.25,43.56,43.62,43.62,776300.0,0.0,1.0
2000-01-25,43.5,43.5,40.25,41.12,41.12,1110700.0,0.0,1.0
2000-01-26,41.38,42.0,39.5,39.5,39.5,1000100.0,0.0,1.0
2000-01-27,39.5,39.88,35.5,37.56,37.56,1818300.0,0.0,1.0
2000-01-28,38.75,39.94,37.81,39.59,39.59,820900.0,0.0,1.0
2000-01-31,39.0,40.5,38.88,40.06,40.06,1225300.0,0.0,1.0
2000-02-01,41.94,42.31,41.06,42.25,42.25,1321900.0,0.0,1.0
2000-02-02,43.12,46.44,43.12,46.44,46.44,2175600.0,0.0,1.0
2000-02-03,48.0,50.94,47.88,50.38,50.38,1632100.0,0.0,1.0
2000-02-04,49.75,49.81,46.75,49.5,49.5,951800.0,0.0,1.0
2000-02-07,51.38,51.38,49.75,51.19,51.19,1196600.0,0.0,1.0
2000-02-08,53.0,54.69,51.75,53.38,53.38,1382300.0,0.0,1.0
2000-02-09,53.75,55.44,51.56,52.75,52.75,2320400.0,0.0,1.0
2000-02-10,54.0,54.0,47.94,49.06,49.06,887400.0,0.0,1.0
2000-02-11,49.25,51.69,47.38,48.5,48.5,1074000.0,0.0,1.0
2000-02-14,47.88,48.19,43.0,43.62,43.62,947900.0,0.0,1.0
2000-02-15,43.38,44.88,40.5,44.0,44.0,1544900.0,0.0,1.0
2000-02-16,44.5,45.81,44.5,45.44,45.44,745600.0,0.0,1.0
2000-02-17,45.44,47.88,45.44,47.81,47.81,904400.0,0.0,1.0
2000-02-18,47.81,48.44,46.75,47.44,47.44,835400.0,0.0,1.0
2000-02-22,45.94,45.94,43.5,43.69,43.69,1078600.0,0.0,1.0
2000-02-23,43.94,45.5,43.94,45.5,45.5,582200.0,0.0,1.0
2000-02-24,45.5,47.0,44.81,45.25,45.25,868500.0,0.0,1.0
