date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2025-06-06,96.39,123.515,92.95,107.7,107.7,60706262.0,0.0,1.0
2025-06-09,132.72,138.57,108.4,115.25,115.25,45521142.0,0.0,1.0
2025-06-10,115.0,115.0,101.51,105.91,105.91,25517793.0,0.0,1.0
2025-06-11,107.0,120.49,106.5,117.2,117.2,26481377.0,0.0,1.0
2025-06-12,116.79,117.9309,104.26,106.54,106.54,13416512.0,0.0,1.0
2025-06-13,108.81,134.72,108.8,133.56,133.56,34013580.0,0.0,1.0
2025-06-16,147.54,165.6,145.88,151.06,151.06,43781546.0,0.0,1.0
2025-06-17,156.36,164.42,143.53,149.15,149.15,31234204.0,0.0,1.0
2025-06-18,153.22,200.9,148.0,199.59,199.59,63566766.0,0.0,1.0
2025-06-20,231.5,248.88,206.17,240.28,240.28,92427231.0,0.0,1.0
2025-06-23,238.46,298.99,232.48,263.45,263.45,99128739.0,0.0,1.0
2025-06-24,250.42,265.0,217.579,222.65,222.65,68222564.0,0.0,1.0
2025-06-25,218.545,227.54,198.0,198.62,198.62,49283191.0,0.0,1.0
2025-06-26,209.04,226.95,205.68,213.63,213.63,45550341.0,0.0,1.0
2025-06-27,223.6469,223.6469,175.6,180.43,180.43,48112124.0,0.0,1.0
2025-06-30,181.77,192.5,178.0,181.29,181.29,34461533.0,0.0,1.0
2025-07-01,184.67,194.0,171.5,192.53,192.53,31252118.0,0.0,1.0
2025-07-02,187.21,189.0,176.0,177.97,177.97,18546015.0,0.0,1.0
2025-07-03,182.17,192.5,181.3901,188.77,188.77,17191952.0,0.0,1.0
2025-07-07,193.75,208.6,186.6,207.46,207.46,31640759.0,0.0,1.0
2025-07-08,199.5,209.5,196.0,204.81,204.81,22225548.0,0.0,1.0
2025-07-09,209.36,215.6,197.25,200.68,200.68,17934427.0,0.0,1.0
2025-07-10,208.84,209.57,199.0,202.9,202.9,12340104.0,0.0,1.0
2025-07-11,204.18,206.8,182.5,187.33,187.33,18227353.0,0.0,1.0
2025-07-14,189.27,204.91,185.54,204.7,204.7,15445172.0,0.0,1.0
2025-07-15,198.0,203.4598,188.1,195.33,195.33,14758547.0,0.0,1.0
2025-07-16,203.05,239.6984,201.32,233.2,233.2,44001740.0,0.0,1.0
2025-07-17,225.585,244.36,220.01,235.08,235.08,29222485.0,0.0,1.0
2025-07-18,244.9,262.97,222.49,223.78,223.78,42877368.0,0.0,1.0
2025-07-21,226.4,231.88,213.33,216.1,216.1,19033133.0,0.0,1.0
2025-07-22,207.55,211.99,192.9,198.31,198.31,18485876.0,0.0,1.0
2025-07-23,198.38,202.5,195.0801,202.41,202.41,10319795.0,0.0,1.0
2025-07-24,199.75,201.25,189.23,193.08,193.08,9085863.0,0.0,1.0
2025-07-25,192.54,195.7,187.5,192.86,192.86,6988469.0,0.0,1.0
2025-07-28,196.975,197.9,183.91,185.36,185.36,9524221.0,0.0,1.0
2025-07-29,187.875,190.75,180.6815,181.64,181.64,9534789.0,0.0,1.0
2025-07-30,182.62,193.3344,182.1,190.5,190.5,9317694.0,0.0,1.0
2025-07-31,188.755,189.87,183.0,183.52,183.52,5770643.0,0.0,1.0
2025-08-01,176.93,181.55,167.3,168.1,168.1,12924882.0,0.0,1.0
