date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-06-28,56.99,59.6899,54.16,58.35,58.35,2776703.0,0.0,1.0
2021-06-29,59.8,65.42,54.15,55.19,55.19,4220526.0,0.0,1.0
2021-06-30,54.96,59.66,54.96,58.2,58.2,3630747.0,0.0,1.0
2021-07-01,57.65,61.09,52.58,52.8,52.8,1872613.0,0.0,1.0
2021-07-02,52.81,53.1,48.5,49.88,49.88,1202702.0,0.0,1.0
2021-07-06,49.88,50.01,44.8001,46.82,46.82,1135646.0,0.0,1.0
2021-07-07,47.19,49.6193,47.1049,49.16,49.16,900110.0,0.0,1.0
2021-07-08,47.33,48.99,46.86,48.32,48.32,723583.0,0.0,1.0
2021-07-09,48.62,53.99,48.62,52.74,52.74,1175098.0,0.0,1.0
2021-07-12,52.29,53.5,49.4,51.08,51.08,816629.0,0.0,1.0
2021-07-13,51.0,51.0199,49.81,50.24,50.24,465804.0,0.0,1.0
2021-07-14,49.58,50.49,48.3,49.76,49.76,940828.0,0.0,1.0
2021-07-15,49.49,53.42,49.11,52.91,52.91,1091656.0,0.0,1.0
2021-07-16,53.49,54.4,50.8,54.35,54.35,633402.0,0.0,1.0
2021-07-19,52.97,58.25,52.21,56.7,56.7,966590.0,0.0,1.0
2021-07-20,56.7,56.7999,53.65,54.67,54.67,553402.0,0.0,1.0
2021-07-21,54.65,56.3,53.95,55.69,55.69,414285.0,0.0,1.0
2021-07-22,56.98,62.73,56.81,59.91,59.91,1315203.0,0.0,1.0
2021-07-23,60.06,62.83,59.2101,60.97,60.97,1037746.0,0.0,1.0
2021-07-26,61.68,68.71,61.68,66.5,66.5,1603446.0,0.0,1.0
2021-07-27,66.5,66.9365,56.13,59.43,59.43,1878313.0,0.0,1.0
2021-07-28,60.26,61.04,56.14,57.97,57.97,856323.0,0.0,1.0
2021-07-29,57.81,61.0,57.64,59.86,59.86,580390.0,0.0,1.0
2021-07-30,59.03,63.35,58.0,61.9,61.9,1022043.0,0.0,1.0
2021-08-02,62.45,63.94,58.81,59.0,59.0,613512.0,0.0,1.0
2021-08-03,59.0,59.9899,53.51,54.16,54.16,666604.0,0.0,1.0
2021-08-04,54.17,56.76,52.74,56.55,56.55,588745.0,0.0,1.0
2021-08-05,56.55,57.46,54.5901,56.81,56.81,518873.0,0.0,1.0
2021-08-06,57.25,57.8392,52.16,52.36,52.36,523583.0,0.0,1.0
