date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-11-03,7.25,7.375,7.125,7.25,5.81815547164492,110500.0,0.0,1.0
1999-11-04,7.188,7.25,6.875,7.063,5.66808718568663,155700.0,0.0,1.0
1999-11-05,7.0,7.313,6.938,7.25,5.81815547164492,485100.0,0.0,1.0
1999-11-08,7.375,7.625,7.25,7.313,5.86871323643301,93000.0,0.0,1.0
1999-11-09,7.438,7.438,7.125,7.125,5.71784244627173,65100.0,0.0,1.0
1999-11-10,7.125,7.188,7.0,7.188,5.76840021105982,56600.0,0.0,1.0
1999-11-11,7.063,7.188,7.0,7.125,5.71784244627173,63900.0,0.0,1.0
1999-11-12,7.0,7.188,7.0,7.188,5.76840021105982,88600.0,0.0,1.0
1999-11-15,7.188,8.188,7.125,7.875,6.31972059851086,133400.0,0.0,1.0
1999-11-16,7.875,8.5,7.875,8.063,6.47059138867214,234300.0,0.0,1.0
1999-11-17,8.125,8.375,8.125,8.313,6.67121743941852,209400.0,0.0,1.0
1999-11-18,8.375,9.0,8.313,8.75,7.02191177612318,283200.0,0.0,1.0
1999-11-19,8.813,8.875,8.25,8.375,6.72097270000362,138700.0,0.0,1.0
1999-11-22,8.375,8.375,7.75,7.938,6.37027836329895,159700.0,0.0,1.0
1999-11-23,7.938,8.75,7.813,8.063,6.47059138867214,252300.0,0.0,1.0
1999-11-24,8.063,9.0,8.0,9.0,7.22253782686956,311100.0,0.0,1.0
1999-11-26,9.0,9.0,8.75,8.75,7.02191177612318,65500.0,0.0,1.0
1999-11-29,8.625,8.938,8.375,8.625,6.92159875074999,166100.0,0.0,1.0
1999-11-30,8.5,8.625,8.0,8.25,6.62065967463043,215900.0,0.0,1.0
1999-12-01,8.188,8.438,7.813,7.938,6.37027836329895,125500.0,0.0,1.0
1999-12-02,7.75,7.813,7.438,7.563,6.06933928717938,262900.0,0.0,1.0
1999-12-03,7.625,7.875,7.375,7.875,6.31972059851086,184100.0,0.0,1.0
1999-12-06,7.75,7.75,7.25,7.25,5.81815547164492,218200.0,0.0,1.0
1999-12-07,7.25,7.375,7.0,7.125,5.71784244627173,79800.0,0.0,1.0
1999-12-08,7.125,7.5,7.0,7.188,5.76840021105982,81000.0,0.0,1.0
1999-12-09,7.125,7.375,7.125,7.375,5.91846849701811,89900.0,0.0,1.0
1999-12-10,7.313,7.375,7.063,7.375,5.91846849701811,86700.0,0.0,1.0
1999-12-13,7.25,7.375,7.125,7.188,5.76840021105982,142100.0,0.0,1.0
1999-12-14,7.125,7.25,7.0,7.0,5.61752942089854,71500.0,0.0,1.0
1999-12-15,6.938,6.938,6.563,6.688,5.36714810956707,286600.0,0.0,1.0
1999-12-16,6.813,6.938,6.5,6.625,5.31659034477898,137800.0,0.0,1.0
1999-12-17,6.5,7.063,6.5,7.063,5.66808718568663,136800.0,0.0,1.0
1999-12-20,7.0,7.188,7.0,7.0,5.61752942089854,88000.0,0.0,1.0
1999-12-21,7.125,7.125,6.688,7.063,5.66808718568663,106200.0,0.0,1.0
1999-12-22,7.0,7.25,6.875,7.25,5.81815547164492,212000.0,0.0,1.0
1999-12-23,7.125,7.688,7.125,7.688,6.16965231255257,96100.0,0.0,1.0
1999-12-27,7.625,7.688,7.438,7.438,5.9690262618062,66000.0,0.0,1.0
