date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-03-12,17.0,17.52,16.1,16.4,16.0153395097924,1667272.0,0.0,1.0
2019-03-13,16.16,16.85,15.77,15.77,15.4001161017943,942828.0,0.0,1.0
2019-03-14,15.81,17.55,15.8,17.5,17.089539111059,1486885.0,0.0,1.0
2019-03-15,18.37,19.18,17.76,18.0,17.5778116570892,1570635.0,0.0,1.0
2019-03-18,18.38,19.28,17.89,18.57,18.1344423595637,1706114.0,0.0,1.0
2019-03-19,18.66,19.01,18.25,18.3,17.8707751847074,715318.0,0.0,1.0
2019-03-20,18.27,18.27,17.0,17.12,16.718451976076,1364353.0,0.0,1.0
2019-03-21,17.21,17.89,17.19,17.45,17.040711856456,576934.0,0.0,1.0
2019-03-22,17.53,17.66,16.8,17.19,16.7868101325202,499966.0,0.0,1.0
2019-03-25,17.0,17.18,16.63,16.87,16.4743157030609,436749.0,0.0,1.0
2019-03-26,17.1,17.375,16.7,17.02,16.6207974668699,513600.0,0.0,1.0
2019-03-27,17.17,18.35,17.12,18.27,17.8414788319456,987288.0,0.0,1.0
2019-03-28,18.4,18.59,17.78,17.91,17.4899225988038,496361.0,0.0,1.0
2019-03-29,18.36,18.55,17.93,18.52,18.0856151049607,593376.0,0.0,1.0
2019-04-01,19.22,19.27,18.11,18.62,18.1832696141668,945329.0,0.0,1.0
2019-04-02,18.5,18.58,17.53,17.62,17.2067245221063,733840.0,0.0,1.0
2019-04-03,17.91,18.42,17.67,17.78,17.3629717368359,564705.0,0.0,1.0
2019-04-04,17.95,17.95,17.0,17.11,16.7086865251554,603927.0,0.0,1.0
2019-04-05,17.17,17.9,17.1,17.13,16.7282174269966,296444.0,0.0,1.0
2019-04-08,17.13,17.18,16.71,16.8,16.4059575466166,295284.0,0.0,1.0
2019-04-09,16.96,16.96,16.5,16.58,16.1911176263633,288684.0,0.0,1.0
2019-04-10,16.5,16.6,15.97,16.0,15.6247214729682,554671.0,0.0,1.0
2019-04-11,16.07,16.88,15.71,16.78,16.3864266447754,504320.0,0.0,1.0
2019-04-12,17.29,17.47,16.22,16.26,15.878623196904,558861.0,0.0,1.0
2019-04-15,16.54,16.6,15.95,16.26,15.878623196904,290392.0,0.0,1.0
2019-04-16,16.58,17.52,16.5,16.84,16.445019350299,1038393.0,0.0,1.0
2019-04-17,17.3,17.42,15.78,15.8,15.4294124545561,1139458.0,0.0,1.0
2019-04-18,15.88,16.059,15.54,15.6,15.234103436144,538347.0,0.0,1.0
2019-04-22,15.63,15.67,15.0,15.03,14.6774727336695,538021.0,0.0,1.0
2019-04-23,15.2,15.29,14.93,15.1,14.7458308901138,471680.0,0.0,1.0
2019-04-24,15.1,15.245,14.68,14.7,14.3552128532896,358008.0,0.0,1.0
2019-04-25,14.7,14.7,13.757,13.76,13.4372604667527,882784.0,0.0,1.0
2019-04-26,13.89,14.68,13.7,14.64,14.2966201477659,522489.0,0.0,1.0
2019-04-29,14.68,15.2,14.265,14.31,13.974360267386,497501.0,0.0,1.0
2019-04-30,14.43,14.66,13.91,13.95,13.6228040342442,284419.0,0.0,1.0
2019-05-01,14.04,14.329,13.68,13.75,13.4274950158321,430431.0,0.0,1.0
2019-05-02,13.94,14.24,13.6,13.65,13.329840506626,447046.0,0.0,1.0
2019-05-03,13.71,14.3,13.66,14.24,13.9060021109417,371369.0,0.0,1.0
2019-05-06,13.6,14.08,13.44,13.87,13.5446804268793,315759.0,0.0,1.0
2019-05-07,13.77,13.9,13.51,13.71,13.3884332121496,280405.0,0.0,1.0
2019-05-08,13.61,14.28,13.58,13.83,13.5056186231969,285539.0,0.0,1.0
2019-05-09,13.63,13.65,13.3,13.41,13.0954696845315,262209.0,0.0,1.0
2019-05-10,13.58,13.61,13.31,13.42,13.1052351354521,181280.0,0.0,1.0
2019-05-13,13.08,13.08,12.5,12.51,12.216579101677,407687.0,0.0,1.0
2019-05-14,12.78,12.87,12.02,12.08,11.796664712091,380848.0,0.0,1.0
2019-05-15,12.0,12.88,12.0,12.77,12.4704808256128,366941.0,0.0,1.0
2019-05-16,12.97,13.099,12.147,12.21,11.9236155740589,477787.0,0.0,1.0
2019-05-17,12.1,12.141,11.09,11.12,10.8591814237129,793344.0,0.0,1.0
2019-05-20,11.03,11.91,10.29,11.85,11.5720593409171,917716.0,0.0,1.0
2019-05-21,12.19,12.51,12.08,12.33,12.0408009851061,457097.0,0.0,1.0
2019-05-22,12.25,12.25,11.173,11.28,11.0154286384426,553859.0,0.0,1.0
2019-05-23,11.08,12.204,10.84,11.47,11.2009722059341,1049264.0,0.0,1.0
2019-05-24,11.87,12.08,10.88,11.53,11.2595649114577,1168131.0,0.0,1.0
2019-05-28,11.53,11.609,10.88,11.07,10.8103541691099,622150.0,0.0,1.0
2019-05-29,11.15,12.06,10.9,11.58,11.3083921660607,913556.0,0.0,1.0
2019-05-30,11.69,11.88,11.364,11.52,11.2497994605371,156263.0,0.0,1.0
2019-05-31,11.37,11.37,10.91,10.98,10.7224651108244,417016.0,0.0,1.0
2019-06-03,11.22,11.36,10.15,10.23,9.99005629177906,538491.0,0.0,1.0
2019-06-04,10.29,10.77,10.29,10.56,10.312316172159,266904.0,0.0,1.0
2019-06-05,10.57,10.66,9.64,9.75,9.52131464759001,518465.0,0.0,1.0
2019-06-06,9.83,10.19,9.53,9.63,9.40412923654275,372723.0,0.0,1.0
2019-06-07,9.63,9.86,9.53,9.58,9.35530198193972,252930.0,0.0,1.0
2019-06-10,9.8,10.22,9.72,10.05,9.81427817520816,349586.0,0.0,1.0
2019-06-11,10.16,10.6,10.0,10.14,9.90216723349361,312199.0,0.0,1.0
2019-06-12,9.98,9.98,9.6,9.62,9.39436378562214,296975.0,0.0,1.0
2019-06-13,9.7,9.83,9.65,9.65,9.42366013838396,163046.0,0.0,1.0
2019-06-14,9.64,9.71,9.41,9.55,9.32600562917791,137615.0,0.0,1.0
2019-06-17,9.55,10.15,9.48,9.87,9.63850005863727,273373.0,0.0,1.0
2019-06-18,10.09,10.65,10.02,10.23,9.99005629177906,503581.0,0.0,1.0
