date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-11-03,17.44,17.44,16.81,16.94,3.12790472540416,50504.0,0.0,1.0
1999-11-04,16.87,16.94,16.06,16.94,3.12790472540416,56115.0,0.0,1.0
1999-11-05,16.5,16.62,16.0,16.62,3.06881797734458,43336.0,0.0,1.0
1999-11-08,15.87,16.37,15.75,16.37,3.02265645542303,42598.0,0.0,1.0
1999-11-09,15.94,16.0,15.94,16.0,2.95433740297914,4751.0,0.0,1.0
1999-11-10,16.06,16.12,15.94,16.06,2.96541616824031,41984.0,0.0,1.0
1999-11-11,16.12,16.12,15.94,15.94,2.94325863771797,13312.0,0.0,1.0
1999-11-12,16.06,16.12,15.62,16.12,2.97649493350148,12820.0,0.0,1.0
1999-11-15,15.25,15.37,14.87,15.0,2.76969131529294,39526.0,0.0,1.0
1999-11-16,15.25,15.25,14.25,14.44,2.66628950618867,26092.0,0.0,1.0
1999-11-17,14.56,14.75,14.5,14.63,2.70137226284905,25723.0,0.0,1.0
1999-11-18,14.69,15.0,14.69,15.0,2.76969131529294,31785.0,0.0,1.0
1999-11-19,15.19,16.37,15.19,16.37,3.02265645542303,16466.0,0.0,1.0
1999-11-22,17.12,17.75,17.12,17.5,3.23130653450843,50995.0,0.0,1.0
1999-11-23,17.38,17.44,17.0,17.31,3.19622377784806,14828.0,0.0,1.0
1999-11-24,17.12,17.31,17.0,17.0,3.13898349066533,4424.0,0.0,1.0
1999-11-26,17.25,17.5,17.12,17.25,3.18514501258688,14582.0,0.0,1.0
1999-11-29,17.31,17.38,17.0,17.31,3.19622377784806,8028.0,0.0,1.0
1999-11-30,17.19,17.25,17.0,17.12,3.16114102118768,11674.0,0.0,1.0
1999-12-01,17.06,17.06,16.25,16.5,3.04666044682224,16916.0,0.0,1.0
1999-12-02,16.62,16.81,15.69,16.25,3.00049892490069,22405.0,0.0,1.0
1999-12-03,16.06,16.06,15.56,15.75,2.90817588105759,23388.0,0.0,1.0
1999-12-06,15.75,15.75,15.31,15.62,2.88417188965838,30433.0,0.0,1.0
1999-12-07,15.44,15.56,15.37,15.5,2.86201435913604,57631.0,0.0,1.0
1999-12-08,15.5,15.5,15.0,15.37,2.83801036773683,63324.0,0.0,1.0
1999-12-09,15.0,15.13,14.87,15.13,2.79369530669215,46981.0,0.0,1.0
1999-12-10,15.31,15.37,14.81,15.13,2.79369530669215,72499.0,0.0,1.0
1999-12-13,15.13,15.19,15.0,15.13,2.79369530669215,22036.0,0.0,1.0
1999-12-14,15.0,15.13,14.87,15.0,2.76969131529294,28754.0,0.0,1.0
1999-12-15,15.06,15.13,15.0,15.06,2.78077008055411,71393.0,0.0,1.0
1999-12-16,15.06,16.25,15.06,16.25,3.00049892490069,23142.0,0.0,1.0
1999-12-17,16.37,16.37,15.87,16.12,2.97649493350148,51241.0,0.0,1.0
1999-12-20,16.12,16.19,15.81,16.0,2.95433740297914,58696.0,0.0,1.0
1999-12-21,16.06,16.06,15.75,16.0,2.95433740297914,86057.0,0.0,1.0
1999-12-22,16.25,18.19,16.12,18.19,3.35871233501191,91791.0,0.0,1.0
1999-12-23,18.19,20.87,18.19,20.44,3.77416603230585,68608.0,0.0,1.0
1999-12-27,20.69,22.75,20.5,22.37,4.13053298154021,123986.0,0.0,1.0
