date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-11-03,83.62,84.0,82.19,82.44,25.2982264046244,2648800.0,0.0,1.0
1999-11-04,83.88,85.94,83.5,84.12,25.8137652250971,3869600.0,0.0,1.0
1999-11-05,86.13,87.38,85.62,86.25,26.4673948010536,3433267.0,0.0,1.0
1999-11-08,86.31,86.62,84.12,84.38,25.8935509949322,2393600.0,0.0,1.0
1999-11-09,84.31,84.69,82.0,83.06,25.4884847788465,3235267.0,0.0,1.0
1999-11-10,82.06,82.25,80.56,80.56,24.7213139150478,3180067.0,0.0,1.0
1999-11-11,80.81,82.62,80.31,81.12,24.8931601885387,2292867.0,0.0,1.0
1999-11-12,82.56,85.0,82.5,85.0,26.0838093691542,3423267.0,0.0,1.0
1999-11-15,84.06,84.81,82.5,82.56,25.3350506060867,3742000.0,0.0,1.0
1999-11-16,83.37,86.44,82.88,86.0,26.3906777146737,4490200.0,0.0,1.0
1999-11-17,85.06,85.19,81.63,81.87,25.1233114476783,3606800.0,0.0,1.0
1999-11-18,82.38,84.12,81.94,83.37,25.5836139659575,3071600.0,0.0,1.0
1999-11-19,83.5,84.38,82.5,83.0,25.4700726781153,1998867.0,0.0,1.0
1999-11-22,82.5,82.56,80.69,81.87,25.1233114476783,2514267.0,0.0,1.0
1999-11-23,81.87,82.25,79.5,79.94,24.5310555408258,3029267.0,0.0,1.0
1999-11-24,79.75,79.94,78.75,79.56,24.4144455695284,2521400.0,0.0,1.0
1999-11-26,80.88,80.88,79.06,79.06,24.2610113967686,794200.0,0.0,1.0
1999-11-29,78.81,78.81,76.31,76.94,23.6104505042674,3480867.0,0.0,1.0
1999-11-30,76.62,79.25,76.56,77.25,23.7055796913784,4031467.0,0.0,1.0
1999-12-01,77.13,78.0,76.56,77.39,23.7485412597511,3046200.0,0.0,1.0
1999-12-02,78.0,79.25,76.0,79.06,24.2610113967686,3261800.0,0.0,1.0
1999-12-03,80.94,83.37,80.81,82.0,25.1632043325959,3844467.0,0.0,1.0
1999-12-06,82.0,82.0,77.37,78.87,24.2027064111199,3321667.0,0.0,1.0
1999-12-07,78.5,79.19,77.37,78.63,24.1290580081953,3702400.0,0.0,1.0
1999-12-08,78.38,78.63,76.88,77.72,23.8498078137726,3171400.0,0.0,1.0
1999-12-09,78.0,79.38,76.06,77.88,23.8989067490557,3158800.0,0.0,1.0
1999-12-10,79.62,79.62,78.12,78.94,24.2241871953063,3209067.0,0.0,1.0
1999-12-13,78.12,79.25,77.75,78.53,24.0983711736433,1701867.0,0.0,1.0
