date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2012-05-22,32.61,33.59,30.94,31.0,30.8328063340833,101786600.0,0.0,1.0
2012-05-23,31.37,32.5,31.36,32.0,31.8274129900214,73600000.0,0.0,1.0
2012-05-24,32.95,33.21,31.77,33.03,32.8518578456378,50237200.0,0.0,1.0
2012-05-25,32.9,32.95,31.11,31.91,31.737898390987,37149800.0,0.0,1.0
2012-05-29,31.48,31.69,28.65,28.84,28.6844559572568,78063400.0,0.0,1.0
2012-05-30,28.695,29.55,27.86,28.19,28.037961630897,57267900.0,0.0,1.0
2012-05-31,28.545,29.67,26.83,29.6,29.4403570157698,111639200.0,0.0,1.0
2012-06-01,28.892,29.15,27.39,27.72,27.5704965026061,41855500.0,0.0,1.0
2012-06-04,27.2,27.65,26.44,26.9,26.7549190447368,35230300.0,0.0,1.0
2012-06-05,26.7,27.76,25.75,25.869,25.7294795824645,42473400.0,0.0,1.0
2012-06-06,26.07,27.17,25.52,26.81,26.6654044457023,61489200.0,0.0,1.0
2012-06-07,27.0,27.35,26.15,26.31,26.1681011177333,26159500.0,0.0,1.0
2012-06-08,26.55,27.76,26.44,27.1,26.9538403759244,38034000.0,0.0,1.0
2012-06-11,27.18,28.07,26.835,27.005,26.8593527436103,28219600.0,0.0,1.0
2012-06-12,27.48,27.77,26.96,27.4,27.2522223727059,15816800.0,0.0,1.0
2012-06-13,27.66,28.1,27.1,27.27,27.1229235074339,17102800.0,0.0,1.0
2012-06-14,27.65,28.32,27.38,28.29,28.1374222964908,16855000.0,0.0,1.0
2012-06-15,28.505,30.1,28.35,30.014,29.8521241713282,43563800.0,0.0,1.0
2012-06-18,29.955,32.08,29.41,31.41,31.2405950630179,42978900.0,0.0,1.0
2012-06-19,31.535,32.18,30.7,31.911,31.7388929976429,30849000.0,0.0,1.0
2012-06-20,31.92,31.9288,31.15,31.6,31.4295703276462,15553600.0,0.0,1.0
2012-06-21,31.67,32.5,31.51,31.84,31.6682759250713,21875300.0,0.0,1.0
2012-06-22,32.41,33.45,32.06,33.05,32.8717499787565,74834000.0,0.0,1.0
2012-06-25,32.86,33.02,31.55,32.06,31.8870893893777,24352900.0,0.0,1.0
2012-06-26,32.69,33.44,32.5,33.1,32.9214803115534,24858700.0,0.0,1.0
2012-06-27,32.46,32.9,31.9,32.23,32.0561725208872,28568000.0,0.0,1.0
2012-06-28,31.96,32.19,30.9,31.36,31.190864730221,17713300.0,0.0,1.0
2012-06-29,31.92,31.99,30.76,31.095,30.9272939663974,19526900.0,0.0,1.0
2012-07-02,31.25,31.73,30.55,30.771,30.6050414098734,14122000.0,0.0,1.0
2012-07-03,30.91,31.44,30.8,31.2,31.0317276652709,8763600.0,0.0,1.0
2012-07-05,31.32,31.625,31.02,31.47,31.3002714623742,10032100.0,0.0,1.0
2012-07-06,31.44,31.9,31.26,31.73,31.5588691929181,10945600.0,0.0,1.0
2012-07-09,32.1,32.88,31.99,32.17,31.9964961215309,17785200.0,0.0,1.0
2012-07-10,32.43,32.48,31.1599,31.47,31.3002714623742,14269500.0,0.0,1.0
2012-07-11,31.48,31.56,30.55,30.97,30.8029681344051,13030300.0,0.0,1.0
2012-07-12,30.7,31.4,30.6,30.81,30.643831069455,11300700.0,0.0,1.0
2012-07-13,31.04,31.07,30.56,30.72,30.5543164704206,8108300.0,0.0,1.0
2012-07-16,30.5,30.5,28.21,28.245,28.0926649969736,24672100.0,0.0,1.0
2012-07-17,28.48,28.59,27.15,28.09,27.9385009653032,30438600.0,0.0,1.0
2012-07-18,28.31,29.29,28.15,29.11,28.9529997543601,16841800.0,0.0,1.0
2012-07-19,29.41,29.5,28.63,29.0,28.8435930222069,13685100.0,0.0,1.0
2012-07-20,29.0,29.47,28.72,28.76,28.6048874247818,11869100.0,0.0,1.0
2012-07-23,28.12,29.0,28.01,28.75,28.5949413582224,12390700.0,0.0,1.0
2012-07-24,28.82,29.45,28.1,28.45,28.2965593614409,11539800.0,0.0,1.0
2012-07-25,28.39,29.49,28.08,29.34,29.1817592852259,17230200.0,0.0,1.0
2012-07-26,27.75,28.23,26.73,26.845,26.7002156786602,64597400.0,0.0,1.0
2012-07-27,23.19,24.54,22.28,23.705,23.5771507790143,123102300.0,0.0,1.0
2012-07-30,23.995,24.04,23.03,23.15,23.0251440849686,29285900.0,0.0,1.0
2012-07-31,23.37,23.37,21.61,21.71,21.5929105004177,56179400.0,0.0,1.0
2012-08-01,21.5,21.58,20.84,20.88,20.767386975989,44604400.0,0.0,1.0
2012-08-02,20.77,20.84,19.82,20.04,19.9319173850009,56374500.0,0.0,1.0
2012-08-03,20.36,22.16,19.9,21.09,20.976254373736,80647000.0,0.0,1.0
2012-08-06,21.39,22.15,21.3,21.92,21.8017778981647,27778900.0,0.0,1.0
2012-08-07,22.2,22.45,20.5,20.72,20.6082499110389,36782900.0,0.0,1.0
2012-08-08,20.71,21.15,20.22,20.72,20.6082499110389,29537400.0,0.0,1.0
2012-08-09,20.75,21.17,20.61,21.01,20.896685841261,15610700.0,0.0,1.0
2012-08-10,21.41,21.82,21.13,21.807,21.6893873460437,25794700.0,0.0,1.0
2012-08-13,22.15,22.45,21.4,21.6,21.4835037682645,24973100.0,0.0,1.0
2012-08-14,21.41,21.6,20.25,20.38,20.2700836480199,39308800.0,0.0,1.0
2012-08-15,20.64,21.41,20.4,21.2,21.0856611058892,47861100.0,0.0,1.0
2012-08-16,20.44,20.48,19.69,19.87,19.7628342534914,157565300.0,0.0,1.0
2012-08-17,20.005,20.08,19.0,19.05,18.9472567956221,129293400.0,0.0,1.0
2012-08-20,19.05,20.13,18.75,20.011,19.9030737919787,101186600.0,0.0,1.0
2012-08-21,19.58,19.98,19.09,19.159,19.0556689211194,70640600.0,0.0,1.0
2012-08-22,19.36,19.53,18.96,19.439,19.3341587847821,49892200.0,0.0,1.0
2012-08-23,19.5,19.73,19.36,19.44,19.335153391438,32813700.0,0.0,1.0
2012-08-24,19.52,19.68,19.25,19.409,19.3043205851039,29622200.0,0.0,1.0
2012-08-27,19.49,19.53,19.1,19.15,19.046717461216,20704000.0,0.0,1.0
2012-08-28,19.1,19.38,18.95,19.34,19.2356927258442,25417000.0,0.0,1.0
2012-08-29,19.32,19.38,19.07,19.1,18.9969871284191,16124700.0,0.0,1.0
2012-08-30,19.27,19.45,19.06,19.0885,18.9855491518758,30647500.0,0.0,1.0
2012-08-31,18.68,18.7,18.03,18.058,17.9606069929315,58764200.0,0.0,1.0
2012-09-04,18.08,18.27,17.55,17.729,17.6333814031278,46622400.0,0.0,1.0
2012-09-05,18.27,18.75,18.18,18.58,18.4797916673312,60781800.0,0.0,1.0
2012-09-06,18.74,19.2617,18.72,18.96,18.8577421965877,46066500.0,0.0,1.0
2012-09-07,19.1,19.42,18.78,18.98,18.8776343297065,36371700.0,0.0,1.0
2012-09-10,19.06,19.2,18.55,18.81,18.708551198197,24797800.0,0.0,1.0
2012-09-11,18.92,19.581,18.85,19.43,19.3252073248786,50508200.0,0.0,1.0
2012-09-12,20.76,21.16,20.28,20.931,20.8181119154418,121584000.0,0.0,1.0
2012-09-13,20.955,21.48,20.61,20.713,20.6012876644473,65041600.0,0.0,1.0
2012-09-14,21.13,22.08,20.9,22.0,21.8813464306397,72819800.0,0.0,1.0
2012-09-17,22.67,22.75,21.5,21.52,21.4039352357894,50667600.0,0.0,1.0
