date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-02-05,31.3,35.6,30.63,33.91,33.91,376530.0,0.0,1.0
2016-02-08,34.0,34.245,31.37,31.52,31.52,102653.0,0.0,1.0
2016-02-09,30.86,30.86,27.0,27.66,27.66,360876.0,0.0,1.0
2016-02-10,27.98,27.98,25.3,26.88,26.88,469833.0,0.0,1.0
2016-02-11,26.48,26.74,22.51,24.1,24.1,497030.0,0.0,1.0
2016-02-12,24.09,24.61,23.2,23.98,23.98,128000.0,0.0,1.0
2016-02-16,24.52,26.4,23.6,25.13,25.13,228015.0,0.0,1.0
2016-02-17,25.44,26.74,24.6003,26.06,26.06,244807.0,0.0,1.0
2016-02-18,26.94,27.77,25.41,26.65,26.65,283316.0,0.0,1.0
2016-02-19,26.0,27.53,25.6,27.03,27.03,159503.0,0.0,1.0
2016-02-22,27.0,29.0,27.0,27.47,27.47,106313.0,0.0,1.0
2016-02-23,26.7,28.3958,26.64,27.15,27.15,269441.0,0.0,1.0
2016-02-24,26.5,28.0339,26.5,27.84,27.84,76445.0,0.0,1.0
2016-02-25,28.44,29.68,27.8,28.95,28.95,206060.0,0.0,1.0
2016-02-26,30.27,30.27,28.38,29.75,29.75,131353.0,0.0,1.0
2016-02-29,29.5,30.5135,28.68,29.27,29.27,246950.0,0.0,1.0
2016-03-01,29.94,30.499,29.41,29.89,29.89,176175.0,0.0,1.0
2016-03-02,29.8,31.25,29.75,31.18,31.18,218019.0,0.0,1.0
2016-03-03,31.0,32.24,30.95,32.15,32.15,398498.0,0.0,1.0
2016-03-04,32.97,33.5,31.42,32.37,32.37,164880.0,0.0,1.0
2016-03-07,31.3543,32.5,29.31,29.79,29.79,198548.0,0.0,1.0
2016-03-08,29.79,29.85,28.02,28.7,28.7,212570.0,0.0,1.0
2016-03-09,28.43,29.48,27.76,28.77,28.77,96638.0,0.0,1.0
2016-03-10,29.0,29.71,27.175,28.0,28.0,163859.0,0.0,1.0
2016-03-11,27.98,28.1,26.7,27.88,27.88,95609.0,0.0,1.0
2016-03-14,28.87,28.87,27.0,27.0,27.0,168218.0,0.0,1.0
2016-03-15,27.0,27.8526,26.52,26.78,26.78,78345.0,0.0,1.0
2016-03-16,26.53,26.89,25.5,25.98,25.98,102387.0,0.0,1.0
2016-03-17,25.82,26.8,25.28,26.03,26.03,50019.0,0.0,1.0
