date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-05-26,29.8,30.34,29.08,29.65,2.965,819733.0,0.0,1.0
2015-05-27,30.67,30.81,27.0,27.5,2.75,797976.0,0.0,1.0
2015-05-28,27.55,27.74,26.48,27.45,2.745,400367.0,0.0,1.0
2015-05-29,27.25,27.38,26.87,27.2,2.72,255419.0,0.0,1.0
2015-06-01,27.2,27.44,26.6,27.33,2.733,257040.0,0.0,1.0
2015-06-02,27.47,27.47,26.65,26.95,2.695,379765.0,0.0,1.0
2015-06-03,26.76,27.5,26.5,27.44,2.744,302948.0,0.0,1.0
2015-06-04,27.42,27.49,25.51,26.78,2.678,322577.0,0.0,1.0
2015-06-05,26.66,27.39,26.1,27.39,2.739,129560.0,0.0,1.0
2015-06-08,26.9,27.48,26.82,26.98,2.698,280925.0,0.0,1.0
2015-06-09,26.64,28.46,26.64,28.34,2.834,337785.0,0.0,1.0
2015-06-10,28.45,28.88,27.95,28.1,2.81,273588.0,0.0,1.0
2015-06-11,28.49,30.73,28.49,30.73,3.073,461719.0,0.0,1.0
2015-06-12,31.32,33.7,31.25,33.63,3.363,848352.0,0.0,1.0
2015-06-15,33.97,38.12,32.9201,35.5,3.55,1694460.0,0.0,1.0
2015-06-16,36.06,38.379,35.84,38.11,3.811,1109542.0,0.0,1.0
2015-06-17,39.63,42.13,38.01,38.63,3.863,1595702.0,0.0,1.0
2015-06-18,38.42,38.8899,34.3265,35.55,3.555,1148173.0,0.0,1.0
2015-06-19,36.33,36.74,32.55,35.52,3.552,978292.0,0.0,1.0
2015-06-22,36.76,38.5,36.09,36.94,3.694,792238.0,0.0,1.0
2015-06-23,37.75,38.1,35.17,35.43,3.543,294227.0,0.0,1.0
2015-06-24,35.12,37.429,34.14,35.96,3.596,564367.0,0.0,1.0
2015-06-25,36.34,36.5,34.8,34.84,3.484,208183.0,0.0,1.0
2015-06-26,34.87,35.32,32.63,33.52,3.352,346533.0,0.0,1.0
2015-06-29,32.52,33.51,31.2,31.32,3.132,315520.0,0.0,1.0
2015-06-30,31.5,34.44,31.5,33.95,3.395,473587.0,0.0,1.0
2015-07-01,34.03,34.97,29.88,31.11,3.111,1012614.0,0.0,1.0
2015-07-02,31.51,31.73,30.62,31.31,3.131,304253.0,0.0,1.0
