date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-09-18,235.0,249.0,218.59,240.0,240.0,7475375.0,0.0,1.0
2020-09-21,230.0,241.4999,218.6,228.85,228.85,5524876.0,0.0,1.0
2020-09-22,238.5,239.0,225.1501,235.16,235.16,3889138.0,0.0,1.0
2020-09-23,243.5,254.8,213.0,217.39,217.39,5851868.0,0.0,1.0
2020-09-24,213.51,230.95,208.55,226.74,226.74,4822045.0,0.0,1.0
2020-09-25,228.12,236.26,227.9001,229.0,229.0,1985530.0,0.0,1.0
2020-09-28,235.93,253.0,235.93,250.41,250.41,4241943.0,0.0,1.0
2020-09-29,255.0,259.7,246.03,259.13,259.13,5307254.0,0.0,1.0
2020-09-30,261.5,278.26,243.05,251.0,251.0,5418863.0,0.0,1.0
2020-10-01,255.25,255.91,238.0,243.46,243.46,3977446.0,0.0,1.0
2020-10-02,232.44,243.12,227.0,227.1,227.1,2726182.0,0.0,1.0
2020-10-05,231.97,243.4297,231.2006,240.0,240.0,2362078.0,0.0,1.0
2020-10-06,244.18,247.99,239.0001,245.1,245.1,1572750.0,0.0,1.0
2020-10-07,245.5,252.36,245.29,246.0,246.0,1682799.0,0.0,1.0
2020-10-08,250.0,250.0,239.99,240.19,240.19,1343844.0,0.0,1.0
2020-10-09,242.0,243.695,235.4701,238.0,238.0,1727964.0,0.0,1.0
2020-10-12,250.32,251.5,243.0,243.97,243.97,3138866.0,0.0,1.0
2020-10-13,247.0,250.5,245.27,249.61,249.61,1462376.0,0.0,1.0
2020-10-14,251.99,252.0,239.0,243.18,243.18,1711827.0,0.0,1.0
2020-10-15,236.03,241.355,231.46,241.0,241.0,1846451.0,0.0,1.0
2020-10-16,242.0,245.99,241.5901,242.52,242.52,1017136.0,0.0,1.0
2020-10-19,245.0,249.86,243.0,246.78,246.78,1535094.0,0.0,1.0
2020-10-20,247.0,252.5,243.3,251.77,251.77,1734296.0,0.0,1.0
2020-10-21,251.65,271.29,250.35,270.61,270.61,3359483.0,0.0,1.0
2020-10-22,269.01,301.0,263.0,297.09,297.09,5192823.0,0.0,1.0
2020-10-23,290.34,294.0,262.24,265.05,265.05,5619345.0,0.0,1.0
2020-10-26,266.07,271.0,244.63,251.39,251.39,4040120.0,0.0,1.0
2020-10-27,254.89,273.0,253.99,266.77,266.77,3492923.0,0.0,1.0
2020-10-28,258.5,272.53,254.01,272.44,272.44,2094260.0,0.0,1.0
2020-10-29,273.8,276.22,264.16,265.88,265.88,1146899.0,0.0,1.0
2020-10-30,261.03,262.63,241.5,250.02,250.02,2400377.0,0.0,1.0
2020-11-02,254.1,260.825,247.0,252.23,252.23,1301028.0,0.0,1.0
2020-11-03,256.0,264.54,254.0501,262.13,262.13,1376366.0,0.0,1.0
2020-11-04,270.79,274.87,262.2,263.91,263.91,1394680.0,0.0,1.0
2020-11-05,271.48,271.69,258.9,263.21,263.21,1272463.0,0.0,1.0
2020-11-06,263.44,270.0,259.2,265.0,265.0,986802.0,0.0,1.0
2020-11-09,263.99,265.95,239.0,239.84,239.84,2965923.0,0.0,1.0
2020-11-10,249.65,249.94,229.98,235.68,235.68,2266839.0,0.0,1.0
2020-11-11,241.71,246.89,237.5,240.76,240.76,1442372.0,0.0,1.0
