date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-09-24,59.5,61.195,53.0,55.78,55.78,3928233.0,0.0,1.0
2021-09-27,55.51,56.3727,54.11,54.9,54.9,2277851.0,0.0,1.0
2021-09-28,54.02,54.25,50.1,50.85,50.85,3987966.0,0.0,1.0
2021-09-29,50.6,52.86,49.0,49.78,49.78,1676477.0,0.0,1.0
2021-09-30,49.93,52.8888,49.84,49.95,49.95,1444029.0,0.0,1.0
2021-10-01,50.09,53.85,49.89,53.55,53.55,959750.0,0.0,1.0
2021-10-04,53.55,53.65,50.66,52.07,52.07,1285208.0,0.0,1.0
2021-10-05,51.82,55.595,51.57,52.1,52.1,1641487.0,0.0,1.0
2021-10-06,51.54,53.5,51.07,52.12,52.12,964426.0,0.0,1.0
2021-10-07,52.51,55.3,52.42,53.0,53.0,745203.0,0.0,1.0
2021-10-08,53.55,54.0,51.18,51.82,51.82,383893.0,0.0,1.0
2021-10-11,51.79,52.3445,50.2,51.36,51.36,1174350.0,0.0,1.0
2021-10-12,51.36,52.1339,50.41,50.94,50.94,836120.0,0.0,1.0
2021-10-13,51.38,54.66,51.2461,54.43,54.43,884617.0,0.0,1.0
2021-10-14,54.68,56.75,53.57,56.36,56.36,1096025.0,0.0,1.0
2021-10-15,56.79,58.45,54.82,56.21,56.21,1598825.0,0.0,1.0
2021-10-18,55.49,56.74,51.43,51.5,51.5,1620838.0,0.0,1.0
2021-10-19,51.7,54.8,51.4,52.54,52.54,1377371.0,0.0,1.0
2021-10-20,52.72,52.85,50.55,50.96,50.96,1080521.0,0.0,1.0
2021-10-21,50.5,52.85,50.5,51.33,51.33,677767.0,0.0,1.0
2021-10-22,51.35,51.99,48.65,49.62,49.62,906627.0,0.0,1.0
2021-10-25,49.62,53.43,49.6101,52.74,52.74,1164988.0,0.0,1.0
2021-10-26,52.81,54.14,51.3165,53.28,53.28,650275.0,0.0,1.0
2021-10-27,52.91,56.38,52.5295,52.76,52.76,1073407.0,0.0,1.0
2021-10-28,53.29,55.82,52.71,53.05,53.05,1074652.0,0.0,1.0
2021-10-29,52.98,54.97,52.71,53.22,53.22,535255.0,0.0,1.0
2021-11-01,54.54,57.2,54.54,57.16,57.16,1125952.0,0.0,1.0
2021-11-02,57.16,65.73,57.16,65.22,65.22,2709339.0,0.0,1.0
2021-11-03,66.13,69.93,60.43,62.99,62.99,2613369.0,0.0,1.0
2021-11-04,63.3,64.05,58.2,60.26,60.26,1536262.0,0.0,1.0
2021-11-05,60.3,62.69,57.31,59.0,59.0,975838.0,0.0,1.0
2021-11-08,56.3,58.6194,55.58,58.34,58.34,1336506.0,0.0,1.0
2021-11-09,57.93,61.75,55.5825,60.75,60.75,1839254.0,0.0,1.0
2021-11-10,54.15,55.25,49.5082,50.01,50.01,5702846.0,0.0,1.0
2021-11-11,47.96,50.0,46.4,48.36,48.36,4420371.0,0.0,1.0
2021-11-12,48.0,49.98,46.64,48.13,48.13,6318984.0,0.0,1.0
2021-11-15,48.0,48.99,47.05,47.97,47.97,3087076.0,0.0,1.0
2021-11-16,47.5,48.33,47.28,48.0,48.0,3506383.0,0.0,1.0
2021-11-17,47.9,48.01,46.195,47.0,47.0,3199490.0,0.0,1.0
2021-11-18,47.0,47.18,42.75,43.1,43.1,3697506.0,0.0,1.0
2021-11-19,43.08,45.29,42.07,45.07,45.07,2995797.0,0.0,1.0
2021-11-22,44.99,45.4,43.13,43.72,43.72,4982034.0,0.0,1.0
2021-11-23,43.64,44.45,40.02,41.5,41.5,4854497.0,0.0,1.0
2021-11-24,40.7,43.685,40.1,43.25,43.25,2317881.0,0.0,1.0
2021-11-26,41.31,43.23,41.1,43.1,43.1,1854835.0,0.0,1.0
2021-11-29,43.5,44.34,42.5,43.68,43.68,1839164.0,0.0,1.0
2021-11-30,43.23,43.9,39.77,39.99,39.99,3836306.0,0.0,1.0
2021-12-01,41.22,41.22,34.33,35.31,35.31,5100709.0,0.0,1.0
2021-12-02,36.01,36.18,32.65,35.69,35.69,4810080.0,0.0,1.0
2021-12-03,36.19,36.19,32.2,34.44,34.44,3833905.0,0.0,1.0
2021-12-06,34.11,37.09,32.95,36.74,36.74,3466943.0,0.0,1.0
2021-12-07,38.14,40.16,38.0,39.65,39.65,2771479.0,0.0,1.0
2021-12-08,39.58,40.8,38.2805,40.38,40.38,2085866.0,0.0,1.0
2021-12-09,40.12,41.4,36.71,37.19,37.19,1729569.0,0.0,1.0
2021-12-10,37.2,38.27,36.01,37.27,37.27,2190615.0,0.0,1.0
2021-12-13,36.98,37.52,33.81,34.5,34.5,3483516.0,0.0,1.0
2021-12-14,33.18,35.38,33.03,34.0,34.0,2661696.0,0.0,1.0
2021-12-15,33.34,34.79,30.85,33.43,33.43,5516915.0,0.0,1.0
2021-12-16,35.37,37.65,32.76,32.85,32.85,6161895.0,0.0,1.0
2021-12-17,32.29,35.92,30.69,34.89,34.89,7693150.0,0.0,1.0
2021-12-20,33.68,35.2,33.25,34.13,34.13,2264242.0,0.0,1.0
2021-12-21,34.66,38.14,34.13,37.64,37.64,2386648.0,0.0,1.0
2021-12-22,37.58,39.76,36.98,37.84,37.84,2427571.0,0.0,1.0
2021-12-23,37.74,40.26,37.2535,39.63,39.63,2372572.0,0.0,1.0
2021-12-27,39.94,40.13,38.63,38.95,38.95,1132890.0,0.0,1.0
2021-12-28,38.67,38.67,35.85,36.78,36.78,2979759.0,0.0,1.0
2021-12-29,35.75,37.525,35.13,37.11,37.11,1427930.0,0.0,1.0
2021-12-30,37.38,38.32,36.36,36.76,36.76,1486158.0,0.0,1.0
2021-12-31,36.47,37.52,34.5,34.71,34.71,1750524.0,0.0,1.0
2022-01-03,34.9,35.55,32.65,33.03,33.03,3030535.0,0.0,1.0
2022-01-04,33.46,33.59,29.15,30.86,30.86,4519797.0,0.0,1.0
2022-01-05,30.85,30.99,27.53,27.88,27.88,5260217.0,0.0,1.0
2022-01-06,27.4,28.88,25.95,28.5,28.5,4142718.0,0.0,1.0
2022-01-07,28.91,30.03,28.01,28.4,28.4,2332732.0,0.0,1.0
2022-01-10,27.6,28.1854,26.15,27.7,27.7,2167959.0,0.0,1.0
2022-01-11,27.93,30.38,27.75,29.77,29.77,2824092.0,0.0,1.0
2022-01-12,30.14,30.94,27.71,28.41,28.41,2606047.0,0.0,1.0
2022-01-13,28.42,28.69,26.53,26.95,26.95,1841863.0,0.0,1.0
2022-01-14,26.5,27.45,24.69,25.2,25.2,3318905.0,0.0,1.0
2022-01-18,24.65,25.5,23.71,24.27,24.27,2755350.0,0.0,1.0
2022-01-19,24.75,25.4109,24.14,24.2,24.2,2852005.0,0.0,1.0
2022-01-20,24.45,26.44,22.75,23.02,23.02,3704636.0,0.0,1.0
2022-01-21,22.7,23.73,20.8,22.56,22.56,5718778.0,0.0,1.0
2022-01-24,21.71,23.37,19.87,23.14,23.14,8214434.0,0.0,1.0
2022-01-25,22.07,23.1799,20.53,21.21,21.21,4018482.0,0.0,1.0
2022-01-26,22.07,23.25,18.72,19.61,19.61,5277354.0,0.0,1.0
2022-01-27,20.72,20.8,19.28,19.93,19.93,3933791.0,0.0,1.0
2022-01-28,20.01,20.78,18.86,20.36,20.36,5361507.0,0.0,1.0
2022-01-31,20.47,23.35,20.4,22.88,22.88,3520189.0,0.0,1.0
2022-02-01,23.87,26.33,23.25,25.72,25.72,6110847.0,0.0,1.0
2022-02-02,25.34,26.33,24.2,24.46,24.46,4916244.0,0.0,1.0
2022-02-03,22.39,24.25,21.56,22.05,22.05,4715804.0,0.0,1.0
2022-02-04,22.02,23.3499,21.59,23.06,23.06,3231311.0,0.0,1.0
2022-02-07,22.99,24.91,22.97,24.67,24.67,2758879.0,0.0,1.0
2022-02-08,24.26,25.95,23.77,25.81,25.81,2105140.0,0.0,1.0
2022-02-09,26.44,28.69,26.34,27.88,27.88,2915551.0,0.0,1.0
2022-02-10,26.06,30.6,26.021,27.76,27.76,3911095.0,0.0,1.0
2022-02-11,27.92,29.45,26.86,27.59,27.59,2187255.0,0.0,1.0
2022-02-14,27.49,28.9,26.881,27.44,27.44,2384983.0,0.0,1.0
2022-02-15,28.27,29.37,26.93,28.12,28.12,4635369.0,0.0,1.0
2022-02-16,22.95,24.4,22.1,23.0,23.0,12384303.0,0.0,1.0
2022-02-17,21.5,21.85,20.19,21.67,21.67,10803580.0,0.0,1.0
2022-02-18,20.96,21.9,19.745,20.87,20.87,6848517.0,0.0,1.0
2022-02-22,20.2,21.87,19.14,19.49,19.49,5512622.0,0.0,1.0
2022-02-23,19.92,20.1,17.64,17.79,17.79,6168214.0,0.0,1.0
2022-02-24,16.6,20.13,16.6,20.08,20.08,5492080.0,0.0,1.0
2022-02-25,20.2,20.43,18.42,20.26,20.26,3374453.0,0.0,1.0
2022-02-28,20.15,21.21,19.55,20.52,20.52,4285751.0,0.0,1.0
2022-03-01,20.4,21.04,19.2338,19.59,19.59,4024141.0,0.0,1.0
2022-03-02,19.74,20.86,19.55,20.5,20.5,5105580.0,0.0,1.0
2022-03-03,20.58,20.68,19.525,19.64,19.64,6343821.0,0.0,1.0
2022-03-04,19.51,19.52,17.81,17.89,17.89,5542002.0,0.0,1.0
2022-03-07,17.55,17.7,16.52,17.21,17.21,5165634.0,0.0,1.0
2022-03-08,17.0,18.45,16.53,17.57,17.57,5276651.0,0.0,1.0
2022-03-09,18.12,19.85,18.12,19.45,19.45,4757161.0,0.0,1.0
2022-03-10,19.0,19.86,18.58,19.61,19.61,3865879.0,0.0,1.0
2022-03-11,19.6,20.15,17.56,17.63,17.63,3813446.0,0.0,1.0
2022-03-14,17.42,17.835,15.825,16.26,16.26,6186457.0,0.0,1.0
2022-03-15,16.46,17.49,16.255,17.38,17.38,4396310.0,0.0,1.0
2022-03-16,17.68,18.92,17.65,18.72,18.72,6229646.0,0.0,1.0
2022-03-17,18.74,19.372,17.93,18.94,18.94,9095323.0,0.0,1.0
2022-03-18,18.92,20.94,18.62,19.65,19.65,8297571.0,0.0,1.0
2022-03-21,19.06,20.37,18.25,20.05,20.05,3691617.0,0.0,1.0
2022-03-22,19.67,21.02,19.04,20.24,20.24,3319544.0,0.0,1.0
2022-03-23,20.08,20.92,19.48,19.91,19.91,3711008.0,0.0,1.0
2022-03-24,20.12,20.47,18.99,20.0,20.0,2758161.0,0.0,1.0
2022-03-25,20.14,20.39,18.96,19.44,19.44,1886755.0,0.0,1.0
2022-03-28,19.25,19.92,18.08,19.23,19.23,2672125.0,0.0,1.0
2022-03-29,19.84,22.05,19.77,21.64,21.64,7973579.0,0.0,1.0
2022-03-30,20.99,23.05,20.71,21.89,21.89,4542644.0,0.0,1.0
2022-03-31,22.0,22.665,21.52,21.73,21.73,2893540.0,0.0,1.0
2022-04-01,21.96,23.64,21.95,22.76,22.76,3145922.0,0.0,1.0
2022-04-04,23.12,24.358,22.78,24.05,24.05,3410923.0,0.0,1.0
2022-04-05,22.72,22.86,20.7791,21.19,21.19,5732064.0,0.0,1.0
2022-04-06,20.6,20.86,19.56,20.6,20.6,5799139.0,0.0,1.0
2022-04-07,20.31,20.35,18.65,19.07,19.07,6887311.0,0.0,1.0
2022-04-08,18.22,19.38,17.92,18.81,18.81,7029691.0,0.0,1.0
2022-04-11,18.49,19.18,18.11,18.81,18.81,4609923.0,0.0,1.0
2022-04-12,19.21,20.05,18.55,18.76,18.76,4403615.0,0.0,1.0
2022-04-13,18.55,20.17,18.19,19.62,19.62,5388338.0,0.0,1.0
2022-04-14,19.34,19.53,18.73,19.3,19.3,3697076.0,0.0,1.0
2022-04-18,19.16,19.36,18.136,19.17,19.17,5002032.0,0.0,1.0
2022-04-19,19.2,20.5,19.14,20.2,20.2,4850225.0,0.0,1.0
2022-04-20,20.31,20.39,19.35,19.71,19.71,2135193.0,0.0,1.0
2022-04-21,20.21,20.95,19.04,19.23,19.23,5340386.0,0.0,1.0
2022-04-22,19.24,20.05,18.48,18.8,18.8,3915708.0,0.0,1.0
2022-04-25,18.61,19.73,18.25,19.27,19.27,4572839.0,0.0,1.0
2022-04-26,19.5,19.73,18.11,18.96,18.96,3698442.0,0.0,1.0
2022-04-27,18.93,20.19,18.77,19.21,19.21,3801777.0,0.0,1.0
2022-04-28,19.35,20.87,18.91,20.59,20.59,3989981.0,0.0,1.0
2022-04-29,19.28,20.14,18.3732,18.63,18.63,6498110.0,0.0,1.0
2022-05-02,18.72,19.475,18.38,19.41,19.41,2636357.0,0.0,1.0
2022-05-03,19.27,19.94,18.46,18.51,18.51,3852380.0,0.0,1.0
2022-05-04,18.2,18.39,16.19,18.26,18.26,6919267.0,0.0,1.0
2022-05-05,17.8,17.88,16.13,16.45,16.45,5041590.0,0.0,1.0
2022-05-06,16.13,16.39,14.41,15.37,15.37,6654447.0,0.0,1.0
2022-05-09,14.98,15.29,13.42,13.77,13.77,8561777.0,0.0,1.0
2022-05-10,14.12,14.64,13.07,13.92,13.92,5644260.0,0.0,1.0
2022-05-11,13.49,13.87,12.45,12.68,12.68,6291944.0,0.0,1.0
2022-05-12,12.31,14.56,11.91,14.29,14.29,16092734.0,0.0,1.0
2022-05-13,16.29,16.53,14.48,14.99,14.99,12731121.0,0.0,1.0
2022-05-16,15.2,15.24,13.78,13.9,13.9,6793029.0,0.0,1.0
2022-05-17,13.94,14.83,13.01,13.51,13.51,7572479.0,0.0,1.0
2022-05-18,13.21,14.08,12.84,13.21,13.21,5567741.0,0.0,1.0
2022-05-19,13.03,15.34,13.03,14.79,14.79,7632083.0,0.0,1.0
2022-05-20,15.26,16.17,14.15,15.36,15.36,7608922.0,0.0,1.0
2022-05-23,15.25,15.51,14.61,15.32,15.32,4675038.0,0.0,1.0
2022-05-24,15.04,15.04,13.98,14.37,14.37,7723912.0,0.0,1.0
2022-05-25,14.36,15.33,14.36,14.95,14.95,3275918.0,0.0,1.0
2022-05-26,14.83,16.14,14.7,15.64,15.64,3968858.0,0.0,1.0
2022-05-27,15.74,17.0,15.74,16.52,16.52,4296207.0,0.0,1.0
2022-05-31,16.73,16.96,16.06,16.24,16.24,7388653.0,0.0,1.0
2022-06-01,15.6,16.41,15.13,15.64,15.64,5924006.0,0.0,1.0
2022-06-02,15.58,17.38,15.48,16.93,16.93,4816343.0,0.0,1.0
2022-06-03,16.57,17.0,16.26,16.72,16.72,4388225.0,0.0,1.0
2022-06-06,17.25,17.67,15.695,16.11,16.11,5721896.0,0.0,1.0
2022-06-07,15.82,16.87,15.64,16.25,16.25,4322643.0,0.0,1.0
2022-06-08,16.35,17.24,16.12,16.23,16.23,4954517.0,0.0,1.0
2022-06-09,16.12,17.21,15.75,15.94,15.94,7438138.0,0.0,1.0
2022-06-10,15.44,15.555,14.27,14.98,14.98,6900896.0,0.0,1.0
2022-06-13,14.01,14.65,13.53,14.03,14.03,7679810.0,0.0,1.0
2022-06-14,14.16,14.38,13.68,13.85,13.85,8315977.0,0.0,1.0
2022-06-15,13.98,14.29,13.325,13.73,13.73,13324490.0,0.0,1.0
2022-06-16,13.21,14.105,12.875,13.06,13.06,10803358.0,0.0,1.0
2022-06-17,13.25,13.99,12.91,13.12,13.12,19618869.0,0.0,1.0
2022-06-21,13.29,14.95,13.29,13.88,13.88,8429835.0,0.0,1.0
2022-06-22,13.58,14.36,13.56,13.93,13.93,7148328.0,0.0,1.0
2022-06-23,14.02,15.18,14.02,14.82,14.82,5503083.0,0.0,1.0
2022-06-24,15.12,15.32,14.72,15.15,15.15,19563911.0,0.0,1.0
2022-06-27,15.15,15.31,14.32,14.82,14.82,3686638.0,0.0,1.0
2022-06-28,14.63,15.05,13.9,13.94,13.94,3301237.0,0.0,1.0
2022-06-29,13.82,13.88,12.98,13.16,13.16,4668079.0,0.0,1.0
2022-06-30,12.91,12.99,12.15,12.94,12.94,5585798.0,0.0,1.0
2022-07-01,12.99,13.775,12.99,13.7,13.7,3696225.0,0.0,1.0
2022-07-05,13.46,14.24,13.21,14.0,14.0,4330818.0,0.0,1.0
2022-07-06,14.08,14.57,13.74,13.91,13.91,3349528.0,0.0,1.0
2022-07-07,13.88,15.1,13.88,14.96,14.96,4552875.0,0.0,1.0
2022-07-08,14.95,15.005,14.13,14.57,14.57,3393287.0,0.0,1.0
2022-07-11,14.28,14.39,13.75,14.03,14.03,3012096.0,0.0,1.0
2022-07-12,14.1,15.09,13.63,14.39,14.39,5497526.0,0.0,1.0
2022-07-13,13.76,14.62,13.66,14.46,14.46,4778488.0,0.0,1.0
2022-07-14,14.39,14.5,13.66,13.7,13.7,2853682.0,0.0,1.0
2022-07-15,13.98,14.43,13.54,13.99,13.99,2665114.0,0.0,1.0
2022-07-18,14.26,14.71,13.9439,14.03,14.03,3368001.0,0.0,1.0
2022-07-19,14.23,14.61,13.67,14.56,14.56,6071144.0,0.0,1.0
2022-07-20,14.53,15.5,14.53,15.24,15.24,5253212.0,0.0,1.0
2022-07-21,14.9,15.419,14.87,15.2,15.2,2141857.0,0.0,1.0
2022-07-22,15.34,15.71,14.43,14.68,14.68,3811009.0,0.0,1.0
2022-07-25,14.66,14.685,14.2,14.37,14.37,1915251.0,0.0,1.0
2022-07-26,14.2,14.2,13.655,13.95,13.95,4505910.0,0.0,1.0
2022-07-27,14.41,15.205,14.3,15.05,15.05,3162664.0,0.0,1.0
2022-07-28,15.09,16.1,14.98,15.97,15.97,4302981.0,0.0,1.0
2022-07-29,15.91,16.4365,15.45,15.98,15.98,5172312.0,0.0,1.0
2022-08-01,15.76,15.97,15.37,15.89,15.89,3949931.0,0.0,1.0
2022-08-02,14.85,16.02,14.66,15.94,15.94,6919632.0,0.0,1.0
2022-08-03,16.1,17.065,15.94,16.7,16.7,7007593.0,0.0,1.0
2022-08-04,16.9,17.32,16.33,16.88,16.88,4295505.0,0.0,1.0
2022-08-05,16.15,16.8,15.61,16.56,16.56,5467777.0,0.0,1.0
2022-08-08,16.79,18.11,16.61,17.64,17.64,8282098.0,0.0,1.0
2022-08-09,17.33,17.4,16.425,16.98,16.98,4736495.0,0.0,1.0
2022-08-10,18.0,18.74,17.69,18.46,18.46,5795518.0,0.0,1.0
2022-08-11,19.25,19.25,17.95,18.15,18.15,7434542.0,0.0,1.0
2022-08-12,21.71,21.76,19.47,19.64,19.64,20733938.0,0.0,1.0
2022-08-15,19.17,19.575,18.76,19.17,19.17,8635721.0,0.0,1.0
2022-08-16,18.95,21.61,18.62,20.64,20.64,11373289.0,0.0,1.0
2022-08-17,20.02,20.18,18.8,19.49,19.49,8765799.0,0.0,1.0
2022-08-18,19.32,19.41,18.54,18.85,18.85,6319430.0,0.0,1.0
2022-08-19,18.5,18.725,17.97,18.37,18.37,5232357.0,0.0,1.0
2022-08-22,17.84,18.27,17.635,18.17,18.17,5354716.0,0.0,1.0
