date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-04-06,1.15,1.3,1.03,1.12,1.12,561606.0,0.0,1.0
2010-04-07,1.15,1.3,1.03,1.19,1.19,726770.0,0.0,1.0
2010-04-08,1.15,1.3,1.03,1.19,1.19,804935.0,0.0,1.0
2010-04-09,1.15,1.3,1.03,1.24,1.24,897680.0,0.0,1.0
2010-04-12,1.15,1.3,1.03,1.23,1.23,937129.0,0.0,1.0
2010-04-13,1.15,1.33,1.03,1.32,1.32,1002339.0,0.0,1.0
2010-04-14,1.15,1.98,1.03,1.77,1.77,1338610.0,0.0,1.0
2010-04-15,1.15,1.98,1.03,1.8,1.8,1508345.0,0.0,1.0
2010-04-16,1.15,1.98,1.03,1.72,1.72,1625794.0,0.0,1.0
2010-04-19,1.15,1.98,1.03,1.65,1.65,1687469.0,0.0,1.0
2010-04-20,1.15,1.98,1.03,1.7,1.7,1749659.0,0.0,1.0
2010-04-21,1.15,1.98,1.03,1.65,1.65,1832374.0,0.0,1.0
2010-04-22,1.15,1.98,1.03,1.78,1.78,1986306.0,0.0,1.0
2010-04-23,1.15,2.0,1.03,2.0,2.0,2083033.0,0.0,1.0
2010-04-26,1.15,2.1,1.03,2.0,2.0,2187261.0,0.0,1.0
2010-04-27,1.15,2.1,1.03,1.98,1.98,2222181.0,0.0,1.0
2010-04-28,1.15,2.1,1.03,2.01,2.01,2257409.0,0.0,1.0
2010-04-29,1.15,2.1,1.03,1.99,1.99,2273964.0,0.0,1.0
2010-04-30,1.15,2.1,1.03,2.1,2.1,2298134.0,0.0,1.0
2010-05-03,1.15,2.15,1.03,1.98,1.98,2317097.0,0.0,1.0
2010-05-04,1.15,2.15,1.03,1.95,1.95,2332073.0,0.0,1.0
2010-05-05,1.15,2.15,1.03,1.85,1.85,2349525.0,0.0,1.0
2010-05-06,1.15,2.15,1.03,1.7,1.7,2402695.0,0.0,1.0
2010-05-07,1.15,2.15,1.03,1.6,1.6,2456469.0,0.0,1.0
2010-05-10,1.15,2.15,1.03,1.7,1.7,2491343.0,0.0,1.0
2010-05-11,1.15,2.15,1.03,1.85,1.85,2520471.0,0.0,1.0
2010-05-12,1.15,2.15,1.03,1.7,1.7,2549912.0,0.0,1.0
2010-05-13,1.15,2.15,1.03,1.9,1.9,2605611.0,0.0,1.0
2010-05-14,1.15,2.15,1.03,1.79,1.79,2652201.0,0.0,1.0
2010-05-17,1.15,2.15,1.03,1.74,1.74,2677265.0,0.0,1.0
2010-05-18,1.15,2.15,1.03,1.83,1.83,2710434.0,0.0,1.0
2010-05-19,1.15,2.15,1.03,1.85,1.85,2807172.0,0.0,1.0
2010-05-20,1.15,2.15,1.03,1.8,1.8,2870307.0,0.0,1.0
2010-05-21,1.15,2.15,1.03,1.78,1.78,2879877.0,0.0,1.0
2010-05-24,1.15,2.15,1.03,1.75,1.75,2887877.0,0.0,1.0
2010-05-25,1.15,2.15,1.03,1.67,1.67,2916037.0,0.0,1.0
2010-05-26,1.15,2.15,1.03,1.68,1.68,2926277.0,0.0,1.0
2010-05-27,1.15,2.15,1.03,1.75,1.75,2939377.0,0.0,1.0
2010-05-28,1.15,2.15,1.03,1.7,1.7,2946577.0,0.0,1.0
2010-06-01,1.15,2.15,1.03,1.72,1.72,2947277.0,0.0,1.0
2010-06-02,1.15,2.15,1.03,1.71,1.71,2977072.0,0.0,1.0
2010-06-03,1.15,2.15,1.03,1.68,1.68,2982596.0,0.0,1.0
2010-06-04,1.15,2.15,1.03,1.6,1.6,3000574.0,0.0,1.0
2010-06-07,1.15,2.15,1.03,1.65,1.65,3011453.0,0.0,1.0
2010-06-08,1.15,2.15,1.03,1.65,1.65,3027082.0,0.0,1.0
2010-06-09,1.15,2.15,1.03,1.7,1.7,3039082.0,0.0,1.0
2010-06-10,1.15,2.15,1.03,1.65,1.65,3039682.0,0.0,1.0
2010-06-11,1.15,2.15,1.03,1.7,1.7,3071882.0,0.0,1.0
2010-06-14,1.15,2.15,1.03,1.7,1.7,3073232.0,0.0,1.0
2010-06-15,1.15,2.15,1.03,1.65,1.65,3074032.0,0.0,1.0
2010-06-16,1.15,2.15,1.03,1.64,1.64,3111182.0,0.0,1.0
2010-06-17,1.15,2.15,1.03,1.61,1.61,3111682.0,0.0,1.0
2010-06-18,1.15,2.15,1.03,1.64,1.64,3134724.0,0.0,1.0
2010-06-21,1.15,2.15,1.03,1.64,1.64,0.0,0.0,1.0
2010-06-22,1.15,2.15,1.03,1.65,1.65,3169802.0,0.0,1.0
2010-06-23,1.15,2.15,1.03,1.6,1.6,3178057.0,0.0,1.0
2010-06-24,1.15,2.15,1.03,1.6,1.6,0.0,0.0,1.0
2010-06-25,1.15,2.15,1.03,1.6,1.6,3180723.0,0.0,1.0
2010-06-28,1.15,2.15,1.03,1.6,1.6,3187730.0,0.0,1.0
2010-06-29,1.15,2.15,1.03,1.55,1.55,3199938.0,0.0,1.0
2010-06-30,1.15,2.15,1.03,1.46,1.46,3210944.0,0.0,1.0
2010-07-01,1.15,2.15,1.03,1.41,1.41,3218444.0,0.0,1.0
2010-07-02,1.15,2.15,1.03,1.4,1.4,3227204.0,0.0,1.0
2010-07-06,1.15,2.15,1.03,1.35,1.35,3234334.0,0.0,1.0
2010-07-07,1.15,2.15,1.03,1.34,1.34,3257326.0,0.0,1.0
2010-07-08,1.15,2.15,1.03,1.37,1.37,3266826.0,0.0,1.0
2010-07-09,1.15,2.15,1.03,1.35,1.35,3267226.0,0.0,1.0
2010-07-12,1.15,2.15,1.03,1.48,1.48,3271076.0,0.0,1.0
2010-07-13,1.15,2.15,1.03,1.48,1.48,3279076.0,0.0,1.0
2010-07-14,1.15,2.15,1.03,1.71,1.71,3301076.0,0.0,1.0
2010-07-15,1.15,2.15,1.03,1.68,1.68,3301176.0,0.0,1.0
2010-07-16,1.15,2.15,1.03,1.45,1.45,3312876.0,0.0,1.0
2010-07-19,1.15,2.15,1.03,1.3,1.3,3343045.0,0.0,1.0
2010-07-20,1.15,2.15,1.03,1.45,1.45,3347244.0,0.0,1.0
2010-07-21,1.15,2.15,1.03,1.5,1.5,3347824.0,0.0,1.0
2010-07-22,1.15,2.15,1.03,1.45,1.45,3353824.0,0.0,1.0
2010-07-23,1.15,2.15,1.03,1.5,1.5,3357014.0,0.0,1.0
2010-07-26,1.15,2.15,1.03,1.54,1.54,3360614.0,0.0,1.0
2010-07-27,1.15,2.15,1.03,1.54,1.54,0.0,0.0,1.0
2010-07-28,1.15,2.15,1.03,1.5,1.5,3368114.0,0.0,1.0
2010-07-29,1.15,2.15,1.03,1.5,1.5,3378352.0,0.0,1.0
2010-07-30,1.15,2.15,1.03,1.6,1.6,3383417.0,0.0,1.0
2010-08-02,1.15,2.15,1.03,1.5,1.5,3417229.0,0.0,1.0
2010-08-03,1.15,2.15,1.03,1.5,1.5,3420229.0,0.0,1.0
2010-08-04,1.15,2.15,1.03,1.51,1.51,3421529.0,0.0,1.0
2010-08-05,1.15,2.15,1.03,1.52,1.52,3421673.0,0.0,1.0
2010-08-06,1.15,2.15,1.03,1.51,1.51,3421773.0,0.0,1.0
2010-08-09,1.15,2.15,1.03,1.56,1.56,3432873.0,0.0,1.0
2010-08-10,1.15,2.15,1.03,1.65,1.65,3453947.0,0.0,1.0
2010-08-11,1.15,2.15,1.03,1.7,1.7,3513533.0,0.0,1.0
2010-08-12,1.15,2.15,1.03,1.73,1.73,3525333.0,0.0,1.0
2010-08-13,1.15,2.15,1.03,1.59,1.59,3544383.0,0.0,1.0
2010-08-16,1.15,2.15,1.03,1.59,1.59,3545683.0,0.0,1.0
2010-08-17,1.15,2.15,1.03,1.59,1.59,0.0,0.0,1.0
