date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-08-01,10.0,10.0,9.96,9.98,9.93876886480593,80400.0,0.0,1.0
2018-08-02,9.98,9.99,9.98,9.99,9.94872755104321,21000.0,0.0,1.0
2018-08-03,9.99,9.99,9.99,9.99,9.94872755104321,0.0,0.0,1.0
2018-08-06,10.09,10.09,9.95,9.96,9.91885149233137,6600.0,0.0,1.0
2018-08-07,9.95,9.95,9.95,9.95,9.90889280609409,500.0,0.0,1.0
2018-08-08,9.95,9.95,9.95,9.95,9.90889280609409,40.0,0.0,1.0
2018-08-09,9.9,9.9,9.9,9.9,9.85909937490769,500.0,0.0,1.0
2018-08-10,9.9,10.36,9.85,9.85,9.80930594372128,4060.0,0.0,1.0
2018-08-13,9.85,9.905,9.8,9.81,9.76947119877216,710771.0,0.0,1.0
2018-08-14,10.75,10.77,9.8,9.8,9.75951251253488,50082.0,0.0,1.0
2018-08-15,9.85,9.88,9.84,9.85,9.80930594372128,524698.0,0.0,1.0
2018-08-16,9.85,9.86,9.85,9.86,9.81926462995856,22925.0,0.0,1.0
2018-08-17,9.82,9.83,9.8,9.83,9.78938857124672,402100.0,0.0,1.0
2018-08-20,9.83,9.83,9.83,9.83,9.78938857124672,0.0,0.0,1.0
2018-08-21,9.8,9.8,9.8,9.8,9.75951251253488,2100.0,0.0,1.0
2018-08-22,9.835,9.835,9.8,9.8,9.75951251253488,24825.0,0.0,1.0
2018-08-23,9.81,9.85,9.75,9.81,9.76947119877216,334302.0,0.0,1.0
2018-08-24,9.8,9.8,9.8,9.8,9.75951251253488,100000.0,0.0,1.0
2018-08-27,9.8,9.8,9.75,9.75,9.70971908134848,2381009.0,0.0,1.0
2018-08-28,9.76,9.76,9.72,9.75,9.70971908134848,685101.0,0.0,1.0
2018-08-29,9.7972,9.8,9.77,9.8,9.75951251253488,52564.0,0.0,1.0
2018-08-30,9.8,9.8,9.8,9.8,9.75951251253488,300.0,0.0,1.0
2018-08-31,9.75,9.8,9.73,9.73,9.68980170887392,10605.0,0.0,1.0
2018-09-04,9.79,9.79,9.79,9.79,9.7495538262976,105.0,0.0,1.0
2018-09-05,9.75,9.8,9.75,9.8,9.75951251253488,2145.0,0.0,1.0
2018-09-06,9.8,9.8,9.8,9.8,9.75951251253488,3800.0,0.0,1.0
2018-09-07,9.78,9.78,9.78,9.78,9.73959514006032,4300.0,0.0,1.0
2018-09-10,9.75,9.87,9.75,9.87,9.82922331619584,125104.0,0.0,1.0
2018-09-11,9.75,9.75,9.74,9.75,9.70971908134848,179750.0,0.0,1.0
2018-09-12,9.75,9.8,9.75,9.8,9.75951251253488,483000.0,0.0,1.0
2018-09-13,9.8,9.8,9.8,9.8,9.75951251253488,10.0,0.0,1.0
2018-09-14,9.7346,9.8,9.7346,9.8,9.75951251253488,600.0,0.0,1.0
2018-09-17,9.84,9.84,9.75,9.75,9.70971908134848,264619.0,0.0,1.0
2018-09-18,9.77,9.77,9.75,9.77,9.72963645382304,7207.0,0.0,1.0
2018-09-19,9.78,9.84,9.77,9.78,9.73959514006032,280828.0,0.0,1.0
2018-09-20,9.75,9.78,9.73,9.73,9.68980170887392,47902.0,0.0,1.0
2018-09-21,9.75,9.77,9.75,9.75,9.70971908134848,74312.0,0.0,1.0
2018-09-24,9.78,9.78,9.77,9.77,9.72963645382304,371.0,0.0,1.0
2018-09-25,9.7413,9.77,9.7413,9.77,9.72963645382304,47289.0,0.0,1.0
2018-09-26,9.75,9.75,9.7494,9.7494,9.70912156017424,2289.0,0.0,1.0
2018-09-27,9.75,9.77,9.75,9.75,9.70971908134848,8971.0,0.0,1.0
